Province/Territory,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Colombie-Britannique,   Bas salaire,HopeGold Solutions Inc.,"North Vancouver, BC V7J 3S8",0631-Directeurs de la restauration et des services alimentaires,1
Colombie-Britannique,   Bas salaire,In-Joy Montessori Children's Center Inc.,"Burnaby, BC V5G 2H8",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Colombie-Britannique,   Bas salaire,JB Landscaping & Drain Tile Ltd,"ABBOTSFORD, BC V2T 4A3",8612-Manoeuvres en aménagement paysager et en entretien des terrains,2
Colombie-Britannique,   Bas salaire,Kabuto Enterprises Ltd.,"Squamish, BC V0N 3G0",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,Kamamarui Restaurant Ltd,"Burnaby, BC V5H 3P4",6311-Superviseurs des services alimentaires,1
Colombie-Britannique,   Bas salaire,Kasai Teppanyaki Steak & Sushi House Ltd,"Kelowna, BC V1Y 6G3",6321-Chefs,1
Colombie-Britannique,   Bas salaire,Kat Cadegan Jewellery Inc,"Revelstoke, BC V0E 2S0","6344-Bijoutiers, réparateurs de bijoux, horlogers-rhabilleurs et personnel assimilé",1
Colombie-Britannique,   Bas salaire,Kidz R Kidz Learning Center Inc.,"Coquitlam, BC V3B 0L8",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Colombie-Britannique,   Bas salaire,KOMAL DRYWALL LTD,"SURREY, BC V3R 5T2",7611-Aides de soutien des métiers et manoeuvres en construction,1
Colombie-Britannique,   Bas salaire,Lansdowne Holdings Ltd.,"Richmond, BC V6X 3H1",6322-Cuisiniers,3
Colombie-Britannique,   Bas salaire,Little Qualicum Cheeseworks Ltd.,"Parksville, BC V9P 2B5","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
Colombie-Britannique,   Bas salaire,MKN Foods Ltd.,"Maple Ridge, BC V2X 2T9",0631-Directeurs de la restauration et des services alimentaires,1
Colombie-Britannique,   Bas salaire,"Mole Hill Montessori, Limited","Vancouver, BC V6Z 1W7",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Colombie-Britannique,   Bas salaire,MR Moose's Childcare Learning Centre Ltd.,"Abbotsford, BC V2T 1S4",4214-Éducateurs et aides-éducateurs de la petite enfance,3
Colombie-Britannique,   Bas salaire,Neeku Enterprises Company Limited,"Chilliwack, BC V2R 4E8",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,New York Painting and coating ltd.,"Surrey, BC V3S 2B9",1431-Commis à la comptabilité et personnel assimilé,1
Colombie-Britannique,   Bas salaire,NUMIS Consulting Inc,"Vancouver, BC V6C 1A5",1241-Adjoints administratifs,1
Colombie-Britannique,   Bas salaire,Pacifc Bark Blowers Inc,"Burnaby, BC V3N 2T8",6316-Surveillants des autres services,1
Colombie-Britannique,   Bas salaire,PAYLESS BUILDING MAINTENANCE LTD,"Nanaimo, BC V9T 5M7",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,Perler Financial Group Inc.,"Port Coquitlam, BC V3C 2B2","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
Colombie-Britannique,   Bas salaire,PETE'S MEAT INC.,"Vancouver, BC V6J 0E6","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",2
Colombie-Britannique,   Bas salaire,PETITS GENIES ACADEMY LTD,"BURNABY, BC V5B 2J3",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Colombie-Britannique,   Bas salaire,Primero Cigar Imports Ltd,"Vancouver, BC V6A 1S3",6222-Acheteurs des commerces de détail et de gros,1
Colombie-Britannique,   Bas salaire,Quality Cabinet MFG Ltd.,"North Vancouver, BC V7H 0A1",1311-Techniciens en comptabilité et teneurs de livres,1
Colombie-Britannique,   Bas salaire,R&T Bottle Depot Ltd,"Abbotsford, BC V2T 4C6",6316-Surveillants des autres services,1
Colombie-Britannique,   Bas salaire,Redpath Foods Inc.,"Richmond, BC V6X 2P9",1521-Expéditeurs et réceptionnaires,1
Colombie-Britannique,   Bas salaire,RKG Holdings LTD.,"Surrey, BC V3S 3K2",0631-Directeurs de la restauration et des services alimentaires,1
Colombie-Britannique,   Bas salaire,Rockcut Neighborhood Pub (2006) Ltd.,"Rossland, BC V0G 1Y0",0631-Directeurs de la restauration et des services alimentaires,1
Colombie-Britannique,   Bas salaire,ROLLINGDALE WINERY INC.,"West Kelowna, BC V1Z 1Z5",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
Colombie-Britannique,   Bas salaire,RPS Restaurants Ltd.,"Squamish, BC V8B 0G8","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",2
Colombie-Britannique,   Bas salaire,SHIKI SUSHI LTD,"VICTORIA, BC V8W 2H7",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,Shoal Creek Enterprises Ltd.,"Vancouver, BC V6H 3H8",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,SIlva Timber Products Ltd.,"Langley, BC V3A 5E8",9533-Monteurs et contrôleurs d'autres produits en bois,1
Colombie-Britannique,   Bas salaire,Snow Cap Enterprises Ltd.,"Burnaby, BC V3N 5G4",6552-Autres préposés aux services d'information et aux services à la clientèle,1
Colombie-Britannique,   Bas salaire,SSH Safari Snack House & Grill,"Burnaby, BC V5E 3N1",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,Summerland Homes Ltd.,"Summerland, BC V0H 1Z7",1311-Techniciens en comptabilité et teneurs de livres,1
Colombie-Britannique,   Bas salaire,Sweet Obession Cakes & Pastries Ltd.,"VANCOUVER, BC V6T 0B4",6311-Superviseurs des services alimentaires,1
Colombie-Britannique,   Bas salaire,T Jones Enterprises Inc,"Vancouver, BC V6H 2W4",7611-Aides de soutien des métiers et manoeuvres en construction,1
Colombie-Britannique,   Bas salaire,T.M. Crest Homes (2007) Ltd.,"Surrey, BC V3Z 0M1",7611-Aides de soutien des métiers et manoeuvres en construction,1
Colombie-Britannique,   Bas salaire,The Curry Pot Indian & Nepalese Cuisine Ltd.,"Vernon, BC V1T 2C1",6322-Cuisiniers,2
Colombie-Britannique,   Bas salaire,THE GOOD SHEPHERD DAYCARE LTD.,"Coquitlam, BC V3B 4T5",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Colombie-Britannique,   Bas salaire,The Yu Holdings Ltd.,"West Vancouver, BC V7T 1G1",1241-Adjoints administratifs,1
Colombie-Britannique,   Bas salaire,The Zealous Salon Corp,"Richmond, BC V6X 4J7","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Colombie-Britannique,   Bas salaire,The Zealous Salon Corp,"Richmond, BC V6X 4J7",6341-Coiffeurs et barbiers,1
Colombie-Britannique,   Bas salaire,Tiny Hopper BC 1 INC.,"Langley, BC V2Y 0L7",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Colombie-Britannique,   Bas salaire,Top Quality Coatings Ltd,"Victoria, BC V9B 6H3",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
Colombie-Britannique,   Bas salaire,Ultima Medical Services Inc.,"Richmond, BC V7B 1C3",3414-Autre personnel de soutien des services de santé,1
Colombie-Britannique,   Bas salaire,WEST JADE RESTAURANT LTD,"SQUAMISH, BC V8B 0K5",0631-Directeurs de la restauration et des services alimentaires,1
Colombie-Britannique,   Bas salaire,WESTCOAST E&T HOLDINGS LTD,"abbotsford, BC V2S 4L5",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,Woodferg James Group Holdings Ltd.,"port coquitlam, BC V3B 1A8",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,Zabb Restaurant Ltd.,"Kelowna, BC V1Y 1W2",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,Zabb Restaurant Ltd.,"Kwlowna, BC V1X 3S9",6322-Cuisiniers,1
Colombie-Britannique,  Agriculture primaire,1134759 BC Ltd,"Surrey, BC V3V 0C9",8431-Ouvriers agricoles,34
Colombie-Britannique,  Agriculture primaire,GREENLAND GROWERS NURSERY LTD,"Aldergrove, BC V4W 1R7","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
Colombie-Britannique,  Agriculture primaire,JHL Contractors Ltd,"Surrey, BC V3W 3K8","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",5
Colombie-Britannique,  Agriculture primaire,Log Barn 1912 Enterprises Corp,"Armstrong, BC V0E 1B8",0821-Gestionnaires en agriculture,1
Colombie-Britannique,  Agriculture primaire,Othello Farms Ltd.,"Surrey, BC V3S 3A6",8431-Ouvriers agricoles,14
Colombie-Britannique,  Agriculture primaire,Padda and Mattu Blueberry Farm Ltd,"SURREY, BC V3W 2C3","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Colombie-Britannique,  Agriculture primaire,Start Fresh Project Society,"Kelowna, BC V1Y 9S4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Colombie-Britannique,  Agriculture primaire,Triple Six Farms Inc.,"Richmond, BC V6W 1H1",8431-Ouvriers agricoles,6
Colombie-Britannique,  Talent mondial,Altran Canada Solutions Corp,"Vancouver, BC V6C 3E8",2173-Ingénieurs et concepteurs en logiciel,6
Yukon,   Bas salaire,535657 YUKON INC.,"Whitehorse, YT Y1A 4S7",1221-Agents d'administration,1
Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada,     Haut salaire,Girl Culture Films LLC,"Venice, 90292","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada,     Haut salaire,"Iconoclast Content, Inc.","Los Angeles, 90004","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada,     Haut salaire,"Morton Jankel Zander, Inc","Los Angeles, 90064","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada,     Haut salaire,Prettybird,"Culver City, 90232","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada,     Haut salaire,"Psyop Productions, LLC","NEW YORK, 10013","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada,     Haut salaire,Stink LLC,"Culver City, 90232","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada,     Haut salaire,Tool of North America,"Santa Monica, 90404","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Notes:,,,,,
1. Tous les renseignements utilisés dans la présente publication proviennent du Système d'étude d'impact sur le marché du travail (SEIMT) d'Emploi et Développement social Canada.,,,,,
"2. Cette liste exclut tous les informations personnelles, tels que le nom des employeurs des fournisseurs de soins à domicile ou les noms d'entreprises qui incluent des noms personnels. Pour cette raison, cette liste est incomplète et ne contient pas tous les employeurs qui ont soumis ou obtenu une EIMT. Si un employeur souhaite communiquer avec EDSC concernant l'exactitude de leur information, prière de communiquer au NA-TFWP-PTET@hrsdc-rhdcc.gc.ca.  ",,,,,
3. Les noms des employeurs sont entrés manuellement dans le Système et peuvent faire l’objet d’erreurs dans la saisie de donnée.           ,,,,,
" 4. Le système de Classification nationale des professions (CNP) 2011, est utilisé depuis novembre 2016. Avant novembre 2016, les professions classifiées sous le CNP 2006 étaient converti selon les professions correspondantes sous le CNP 2011. Une concordance empirique développée par Statistique Canada a été utilisée pour identifier la classification équivalente.                                                                              ",,,,,
"5. En vigueur à partir de février 2018, toutes les EIMT en appui à la résidence permanente (RP) sont exclues des rapports statistiques du PTET, sauf lorsque distinguées séparément. Ceci pourrait affecter les statistiques rapportées au fil du temps.",,,,,
"6. Les données issues du SEIMT concernent le nombre de postes de TÉTs visés, et non le nombre de permis de travail délivrés. Pour obtenir des renseignements sur le nombre de permis de travail délivrés, consultez le document: Faits et chiffres d'Immigration, Réfugiés et Citoyenneté Canada (IRCC) : www.cic.gc.ca/francais/ressources/statistiques/menu-faits.asp",,,,,
"7. Les chiffres indiqués dans la présente publication peuvent différer légèrement de ceux contenus dans les versions précédentes des statistiques des EIMT, en raison des mises à jour des données qui ont eu lieu entre temps.",,,,,
