Province/Territory,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés 
Saskatchewan,     Haut salaire,102086066 SASKATCHEWAN LTD,"Senlac, SK S0L 2Y0",6532-Guides d'activités récréatives et sportives de plein air,2
Saskatchewan,     Haut salaire,Alliance Health (Saskatoon) prof. corp.,"Saskatoon, SK S7J 2J9",3111-Médecins spécialistes,3
Saskatchewan,     Haut salaire,green express ltd,"Melfort, SK S0E 1A0",1241-Adjoints administratifs,1
Saskatchewan,     Haut salaire,H&H Transport Inc.,"Regina, SK S4N 2Y3",7511-Conducteurs de camions de transport,5
Saskatchewan,     Haut salaire,Lee & J Enterprises Ltd.,"Yorkton, SK S3N 2A6",6211-Superviseurs des ventes - commerce de détail,1
Saskatchewan,     Haut salaire,Lodex Transport Ltd.,"Saskatoon, SK S7R 1A7",7511-Conducteurs de camions de transport,9
Saskatchewan,     Haut salaire,MANREET TRUCKING LTD.,"Regina, SK S4W 0A5",7511-Conducteurs de camions de transport,4
Saskatchewan,     Haut salaire,Pacific Wings Prairie Outfitters LTD,"Rosetown, SK S0L 2V0",6532-Guides d'activités récréatives et sportives de plein air,3
Saskatchewan,     Haut salaire,RECON INSPECTION LTD.,"Vanscoy, SK S0L 3J0","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",1
Saskatchewan,     Haut salaire,S. K Transportation Inc.,"Saskatoon, SK S7K 4Z7",7511-Conducteurs de camions de transport,2
Saskatchewan,     Haut salaire,Saskatchewan Health Authority,"Saskatoon, SK S7K 0M7","3214-Inhalothérapeutes, perfusionnistes cardiovasculaires et technologues cardiopulmonaires",1
Saskatchewan,     Haut salaire,Sohang Transportation Ltd.,"Regina, SK S4W 0A2",7511-Conducteurs de camions de transport,4
Saskatchewan,     Haut salaire,Spice Hut Canada Franchise Ltd,"Swift Current, SK S9H 0L2",6322-Cuisiniers,12
Saskatchewan,   Bas salaire,101041843 SK Ltd,"Maple Creek, SK S0N 1N0",6311-Superviseurs des services alimentaires,1
Saskatchewan,   Bas salaire,101058875 Saskatchewan Ltd.,"Rosetown, SK S0L 2V0",6211-Superviseurs des ventes - commerce de détail,2
Saskatchewan,   Bas salaire,101205567 Saskatchewan Ltd.,"Weyburn, SK S4H 0A4",6211-Superviseurs des ventes - commerce de détail,1
Saskatchewan,   Bas salaire,101261628 Saskatchwan Ltd.,"Bengough, SK S0C 0K0",6322-Cuisiniers,1
Saskatchewan,   Bas salaire,101268670 Saskatchewan Ltd.,"North Battleford, SK S9A 0W9",6211-Superviseurs des ventes - commerce de détail,1
Saskatchewan,   Bas salaire,101299199 Saskatchewan Ltd.,"Tisdale, SK S0E 1T0",6311-Superviseurs des services alimentaires,1
Saskatchewan,   Bas salaire,101305159 SASKATCHEWAN LTD.,"Moose Jaw, SK S6J 1E1",6211-Superviseurs des ventes - commerce de détail,1
Saskatchewan,   Bas salaire,102049003 Saskatchewan Ltd.,"Wakaw, SK S0K 4P0",6311-Superviseurs des services alimentaires,1
Saskatchewan,   Bas salaire,102049003 Saskatchewan Ltd.,"Wakaw, SK S0K 4P0",6322-Cuisiniers,1
Saskatchewan,   Bas salaire,102073318 Saskatchewan Ltd.,"Shell Lake, SK S0J 2G0",6211-Superviseurs des ventes - commerce de détail,1
Saskatchewan,   Bas salaire,102087871 SASKATCHEWAN LTD,"YORKTON, SK S3N 0M3",6322-Cuisiniers,1
Saskatchewan,   Bas salaire,1294390Alberta Ltd.,"Gull Lake, SK S0N 1A0",6322-Cuisiniers,1
Saskatchewan,   Bas salaire,629580 SK LTD.,"Gull Lake, SK S0N 1A0",6211-Superviseurs des ventes - commerce de détail,1
Saskatchewan,   Bas salaire,Can Am Travel Stop Inc.,"Whitewood, SK S0G 5C0",6211-Superviseurs des ventes - commerce de détail,1
Saskatchewan,   Bas salaire,Canalta Food Services Ltd.,"Regina, SK S4S 3R6",6311-Superviseurs des services alimentaires,2
Saskatchewan,   Bas salaire,Chung's Place Ltd.,"Saskatoon, SK S7L 1A9",6311-Superviseurs des services alimentaires,1
Saskatchewan,   Bas salaire,Chung's Place Ltd.,"Saskatoon, SK S7L 1A9",6322-Cuisiniers,1
Saskatchewan,   Bas salaire,E & E FOOD SERVICE LTD.,"Regina, SK S4P 3Y6",6322-Cuisiniers,1
Saskatchewan,   Bas salaire,Freight Power Transport Ltd.,"Saskatoon, SK S7R 0J4",7511-Conducteurs de camions de transport,6
Saskatchewan,   Bas salaire,Grand Liquor & Grocery LTD,"Indian Head, SK S0G 2K0",6211-Superviseurs des ventes - commerce de détail,1
Saskatchewan,   Bas salaire,Greg Crisanti Ltd.,"Moosomin, SK S0G 3N0",6311-Superviseurs des services alimentaires,5
Saskatchewan,   Bas salaire,New Era Janitorial Services Inc,"Saskatoon, SK S7K 7G5",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,1
Saskatchewan,   Bas salaire,Pho Milu Vietnamese Beef Noodle Soup Inc,"Regina, SK S4N 0R2",6311-Superviseurs des services alimentaires,1
Saskatchewan,   Bas salaire,Pho Milu Vietnamese Beef Noodle Soup Inc,"Regina, SK S4N 0R2",6322-Cuisiniers,1
Saskatchewan,   Bas salaire,Rafiqui Enterprises Ltd,"Saskatoon, SK S7H 0T7","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Saskatchewan,   Bas salaire,Saskatoon Magic Clean & Maintenance,"Saskatoon, SK S7M 0W9",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,1
Saskatchewan,   Bas salaire,SHIRO HOLDINGS INC.,"Saskatoon, SK S7N 1B5",6322-Cuisiniers,1
Saskatchewan,   Bas salaire,Simona's Home Ltd,"Saskatoon, SK S7K 6A8","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",1
Saskatchewan,   Bas salaire,SKYWAY BRANDS REGINA INC.,"REGINA, SK S4W 1B3",6322-Cuisiniers,1
Saskatchewan,   Bas salaire,Spice Hospitality Inc.,"Saskatoon, SK S7N 1B6",6322-Cuisiniers,2
Saskatchewan,   Bas salaire,Stones Edge Landscaping Inc.,"Pilot Butte, SK S0G 3Z0","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
Saskatchewan,   Bas salaire,Sushi Raku Japanese Cuisine,"Saskatoon, SK S7M 1L6",6322-Cuisiniers,1
Saskatchewan,  Agriculture primaire,101026263 Saskatchewan Ltd.,"Porcupine Plain, SK S0E 1H0",8431-Ouvriers agricoles,3
Saskatchewan,  Agriculture primaire,101063173 Saskatchewan Ltd.,"Lafleche, SK S0H 2K0",8431-Ouvriers agricoles,1
Saskatchewan,  Agriculture primaire,102044967 Saskatchewan Ltd.,"Saskatoon, SK S7V 1J6","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Saskatchewan,  Agriculture primaire,Count Your Chickens Poultry Inc.,"Saskatoon, SK S7R 0J2","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Saskatchewan,  Agriculture primaire,Delage Farms Ltd.,"Indian Head, SK S0G 2K0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Saskatchewan,  Agriculture primaire,G & B Friesen Farms Ltd.,"Quill Lake, SK S0A 3E0",8431-Ouvriers agricoles,6
Saskatchewan,  Agriculture primaire,Hire Yield Ag Solutions Inc.,"Arcola, SK S0C 0G0",8431-Ouvriers agricoles,1
Saskatchewan,  Agriculture primaire,Janeil Enterprises Inc.,"Eatonia, SK S0L 0Y0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Saskatchewan,  Agriculture primaire,Moxham Farms Ltd.,"Leross, SK S0A 2C0",8431-Ouvriers agricoles,2
Saskatchewan,  Agriculture primaire,Northern Konstar Seedpotatoes Ltd.,"Outlook, SK S0L 2N0",8431-Ouvriers agricoles,3
Saskatchewan,  Agriculture primaire,Rolling S Farm Ltd.,"Speers, SK S0M 2V0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Saskatchewan,  Agriculture primaire,Skyline Acres Ltd.,"LACADENA, SK S0L 1V0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Saskatchewan,  Agriculture primaire,Spruce Meadow Farms Ltd,"Kincaid, SK S0H 2J0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Saskatchewan,  Agriculture primaire,Wilson Grains Ltd.,"Swift Current, SK S9H 4V2",8431-Ouvriers agricoles,2
Saskatchewan,  Talent mondial,Precision AI Inc.,"Regina, SK S4P 4V5",2173-Ingénieurs et concepteurs en logiciel,1
Alberta,     Haut salaire,10380008 Canada Inc.,"CALGARY, AB T2P 3H9",2174-Programmeurs et développeurs en médias interactifs,1
Alberta,     Haut salaire,1224883 B. C. Ltd,"Calgary, AB T2P 3W4","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Alberta,     Haut salaire,1520879 Alberta Ltd.,"Calgary, AB T3G 4A2",2171-Analystes et consultants en informatique,1
Alberta,     Haut salaire,9016970 CANADA INC,"EDMONTON, AB T6T 1T5",1241-Adjoints administratifs,1
Alberta,     Haut salaire,Alberta Health Services,"MEDICINE HAT, AB T1A 4H6",3111-Médecins spécialistes,4
Alberta,     Haut salaire,Alberta Health Services,"MEDICINE HAT, AB T1A 4H6",3112-Omnipraticiens et médecins en médecine familiale,1
Alberta,     Haut salaire,BBN TRANSPORT LTD.,"CALGARY, AB T3J 5H3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Alberta,     Haut salaire,CAC Enterprises Group Inc.,"Edmonton, AB T6P 1X2",0601-Directeurs des ventes corporatives,1
Alberta,     Haut salaire,Cenfos Inc.,"Calgary, AB T2H 2K6",0621-Directeurs - commerce de détail et de gros,1
Alberta,     Haut salaire,Copithorne & Blakely Corporation,"Calgary, AB T2G 0Y4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",3
Alberta,     Haut salaire,Dynamics MCT Consulting Ltd.,"Edmonton, AB T6R 0T1",2174-Programmeurs et développeurs en médias interactifs,1
Alberta,     Haut salaire,Fast Appliances Repair Ltd.,"Calgary, AB T2Z 0J4",6315-Surveillants des services de nettoyage,1
Alberta,     Haut salaire,Feel Like Talking Connections Ltd,"EDMONTON, AB T6E 0W4",0621-Directeurs - commerce de détail et de gros,1
Alberta,     Haut salaire,Francis Akolo Professional Corporation,"City of Grande Prairie, AB T8X 0G4",3112-Omnipraticiens et médecins en médecine familiale,1
Alberta,     Haut salaire,Margaux Resources Ltd.,"Calgary, AB T2P 3S2","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Alberta,     Haut salaire,McLane Company Enterprises Inc.,"Airdrie, AB T4B 4G9",6532-Guides d'activités récréatives et sportives de plein air,7
Alberta,     Haut salaire,New-Firmus Inc.,"Calgary, AB T2H 1K7",7271-Charpentiers-menuisiers,20
Alberta,     Haut salaire,New-Way Trucking Ltd.,"Acheson, AB T7X 6C7",7511-Conducteurs de camions de transport,16
Alberta,     Haut salaire,OK Granite LTD,"Calgary, AB T2E 7K8",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Alberta,     Haut salaire,Pleasant Solutions,"Edmonton, AB T6E 4N3",5241-Designers graphiques et illustrateurs,1
Alberta,     Haut salaire,Remedx Remediation Services Inc.,"Calgary, AB T2P 2X6",2232-Technologues et techniciens en génie mécanique,1
Alberta,     Haut salaire,Tamarack Freight LTD,"Edmonton, AB T6T 0V7",7305-Surveillants du transport routier et du transport en commun,1
Alberta,     Haut salaire,Two Pillars Construction Ltd.,"Calgary, AB T2P 3Y6",7271-Charpentiers-menuisiers,2
Alberta,     Haut salaire,University of Alberta,"Edmonton, AB T6G 2R3",4011-Professeurs et chargés de cours au niveau universitaire,4
Alberta,     Haut salaire,University of Calgary,"Calgary, AB T2N 1N4",4011-Professeurs et chargés de cours au niveau universitaire,7
Alberta,   Bas salaire,10540889 Canada Ltd.,"Edmonton, AB T5L 4S8",6211-Superviseurs des ventes - commerce de détail,1
Alberta,   Bas salaire,1113476 Alberta Ltd.,"Edmonton, AB T5L 3P9",6311-Superviseurs des services alimentaires,1
Alberta,   Bas salaire,1342588 Alberta Ltd.,"Calgary, AB T3C 0J2","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Alberta,   Bas salaire,1353055 Alberta Ltd.,"Jasper, AB T0E 1E0",6322-Cuisiniers,1
Alberta,   Bas salaire,1931668 Alberta Inc.,"Red Deer, AB T4N 1W1",6211-Superviseurs des ventes - commerce de détail,1
Alberta,   Bas salaire,2085616 Alberta Inc.,"Calgary, AB T2G 0B7",2175-Concepteurs et développeurs Web,1
Alberta,   Bas salaire,2150292 Alberta Ltd.,"Edmonton, AB T5J 1Z3",6311-Superviseurs des services alimentaires,1
Alberta,   Bas salaire,5782687 Manitoba Ltd o/a Domino's Pizza,"Edmonton, AB T6K 3J4",6311-Superviseurs des services alimentaires,1
Alberta,   Bas salaire,849357 Alberta Ltd.,"Tofield, AB T0B 4J0",6311-Superviseurs des services alimentaires,1
Alberta,   Bas salaire,Bouvry Exports Calgary Ltd.,"Calgary, AB T2H 2S3","9462-Bouchers industriels, dépeceurs-découpeurs de viande, préparateurs de volaille et personnel assimilé",15
Alberta,   Bas salaire,CANADIAN LOCATORS INC,"Calgary, AB T2H 2Z9",1241-Adjoints administratifs,1
Alberta,   Bas salaire,Carbolyn Investments Ltd.,"Peace River,, AB T8S 1R2",6211-Superviseurs des ventes - commerce de détail,1
Alberta,   Bas salaire,Chatters Limited Partnership,"Red Deer County, AB T4S 0K7",6341-Coiffeurs et barbiers,1
Alberta,   Bas salaire,Dap Group Ltd.,"Fort Mcmurray, AB T9J 1K3",6211-Superviseurs des ventes - commerce de détail,2
Alberta,   Bas salaire,Dhillon Lighting (Calgary) Ltd.,"Calgary, AB T2E 7Z5","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Alberta,   Bas salaire,Ellerslie Chicken Foods Inc.,"Edmonton, AB T6X 0K6",6311-Superviseurs des services alimentaires,1
Alberta,   Bas salaire,Evansdale NLB staffing Inc.,"Calgary, AB T3P 0C8",1311-Techniciens en comptabilité et teneurs de livres,1
Alberta,   Bas salaire,Executive Diamond Services Ltd,"Calgary, AB T2J 3J1",6211-Superviseurs des ventes - commerce de détail,1
Alberta,   Bas salaire,Frank Driving School Ltd.,"Calgary, AB T3A 1T2",1221-Agents d'administration,1
Alberta,   Bas salaire,GAYATRI MANAGEMENT INC.,"COALDALE, AB T1M 1N1",6311-Superviseurs des services alimentaires,1
Alberta,   Bas salaire,Gordion Construction Ltd.,"Edmonton, AB T6E 6T7",1241-Adjoints administratifs,1
Alberta,   Bas salaire,GTC EDU&TRAVEL INC.,"Calgary, AB T2P 0E7",1241-Adjoints administratifs,2
Alberta,   Bas salaire,JBS Food Canada ULC,"Brooks, AB T1R 1C6","9462-Bouchers industriels, dépeceurs-découpeurs de viande, préparateurs de volaille et personnel assimilé",150
Alberta,   Bas salaire,JH Food & Development Ltd.,"West Cochrane, AB T4C 0W5",6322-Cuisiniers,1
Alberta,   Bas salaire,LIQUORAMA LTD,"Calgary, AB T2B 1N1",6211-Superviseurs des ventes - commerce de détail,1
Alberta,   Bas salaire,Milltech Millwork Ltd.,"Edmonton, AB T5L 4K2",7272-Ébénistes,2
Alberta,   Bas salaire,Millwoods Meat Shop Ltd,"Edmonton, AB T6L 5H1","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",2
Alberta,   Bas salaire,Rocker Masonry LTD,"Edmonton, AB T5M 3W1",7283-Carreleurs,3
Alberta,   Bas salaire,Skycad Dental Technology Ltd.,"Calgary, AB T3C 0J5",3223-Technologues et techniciens dentaires et auxiliaires dans les laboratoires dentaires,1
Alberta,   Bas salaire,Spirit Hills Services Ltd.,"Millarville, AB T0L 1K0",0821-Gestionnaires en agriculture,1
Alberta,   Bas salaire,Tartan Hospitality Inc,"Edmonton, AB T5E 2T2",6311-Superviseurs des services alimentaires,1
Alberta,   Bas salaire,Tartan Hospitality Inc,"Edmonton, AB T5E 2T2",6332-Boulangers-pâtissiers,1
Alberta,   Bas salaire,TSWG Holdings Ltd.,"Cochrane, AB T4C 1A5",6322-Cuisiniers,1
Alberta,   Bas salaire,VERMILION PACKERS LTD.,"Vermilion, AB T9X 1J4","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Alberta,   Bas salaire,WESTERN RESTAURANT FRANCHISES INC O/A A & W RESTAURANT,"FORT MCMURRAY, AB T9H 2K7",6311-Superviseurs des services alimentaires,3
Alberta,   Bas salaire,WESTERN RESTAURANT FRANCHISES INC O/A A & W RESTAURANT,"FORT MCMURRAY, AB T9H 2K7",6322-Cuisiniers,1
Alberta,   Bas salaire,WILDROSE GARMENTS MFG LTD,"Edmonton, AB T5B 4W3","6342-Tailleurs, couturiers, fourreurs et modistes",2
Alberta,  Agriculture primaire,1442849 Alberta Ltd.,"Calgary, AB T2H 0J9","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,Alberta T.C Farms Ltd,"Picture Butte, AB T0K 1V0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,Alberta T.C Farms Ltd,"Picture Butte, AB T0K 1V0",8431-Ouvriers agricoles,3
Alberta,  Agriculture primaire,Attache Stables Ltd,"Foothills, AB T1S 3E7","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,Bassano Farms Ltd,"Bassano, AB T0J 0B0",8431-Ouvriers agricoles,1
Alberta,  Agriculture primaire,Beelicious Inc.,"Bezanson, AB T0H 0G0",8431-Ouvriers agricoles,2
Alberta,  Agriculture primaire,Bester Farms,"Red Deer County, AB T4G 0M5",8431-Ouvriers agricoles,1
Alberta,  Agriculture primaire,BIOTECH GREENHOUSES LTD.,"Redcliff, AB T0J 2P0",8432-Ouvriers de pépinières et de serres,4
Alberta,  Agriculture primaire,Bonnyville Forest Nursery Inc.,"Bonnyville, AB T9N 2M9",8432-Ouvriers de pépinières et de serres,18
Alberta,  Agriculture primaire,BRB Farms Ltd.,"Redcliff, AB T0J 2P0",8432-Ouvriers de pépinières et de serres,15
Alberta,  Agriculture primaire,Breevliet Ltd.,"Wetaskiwin, AB T9A 1X1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",4
Alberta,  Agriculture primaire,CK Greenhouses Ltd.,"Redcliff, AB T0J 2P0",8432-Ouvriers de pépinières et de serres,5
Alberta,  Agriculture primaire,De Herdt Gardens ltd,"Barrhead, AB T7N 1A6",8432-Ouvriers de pépinières et de serres,2
Alberta,  Agriculture primaire,Den Oudsten Dairy Ltd.,"Lacombe, AB T4L 2N3",8431-Ouvriers agricoles,1
Alberta,  Agriculture primaire,Diamond Dust Acres Ltd,"Enchant, AB T0K 0V0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",5
Alberta,  Agriculture primaire,Drost Seed Potatoes Ltd,"Bentley, AB T0C 0J0",8431-Ouvriers agricoles,1
Alberta,  Agriculture primaire,Dunvegan Gardens GP Ltd.,"Grande Prairie, AB T8V 4B6","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,Farming Worx Inc.,"Calgary, AB T2P 2G7",8432-Ouvriers de pépinières et de serres,4
Alberta,  Agriculture primaire,GA Home and Garden Centre Ltd.,"Calgary, AB T2K 5X3",8432-Ouvriers de pépinières et de serres,7
Alberta,  Agriculture primaire,Greenbelt Dairy Ltd.,"Wainwright, AB T9W 1S8","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
Alberta,  Agriculture primaire,Greenroad Farms Ltd,"Wetaskiwing, AB T9A 1W8","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,Greidanus Farms Inc,"Granum, AB T0L 1A0",8431-Ouvriers agricoles,1
Alberta,  Agriculture primaire,Grosman Dairy Farm Ltd,"Barrhead, AB T0G 2G0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Alberta,  Agriculture primaire,Hamer Tree Services Ltd.,"Foothills, AB T1S 4S3",8431-Ouvriers agricoles,3
Alberta,  Agriculture primaire,Harvest Hill Farms Ltd.,"Huxley, AB T0M 0Z0",8431-Ouvriers agricoles,1
Alberta,  Agriculture primaire,Heupel Farms Inc,"Stony Plain, AB T7Z 1X9","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,"LASSONDE WESTERN CANADA, a division of A. LASSONDE INC.","Calgary, AB T2C 1N6",8431-Ouvriers agricoles,6
Alberta,  Agriculture primaire,Lefley Honey Company LTD.,"Spirit River, AB T0H 3G0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,Magill Farm & Field Service Inc.,"Lethbridge County, AB T1J 1B6",8431-Ouvriers agricoles,6
Alberta,  Agriculture primaire,Matco Ranches Ltd.,"Calgary, AB T2P 1G1",8431-Ouvriers agricoles,2
Alberta,  Agriculture primaire,Meinema Custom Farming Ltd.,"Lacombe, AB T4L 2N3","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",4
Alberta,  Agriculture primaire,MJT Cattle company Ltd,"Edgerton, AB T0B 1K0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,NBI Feedyards Inc.,"Edmonton, AB T5L 4W1",8431-Ouvriers agricoles,4
Alberta,  Agriculture primaire,Nieuwenhuis Dairy Inc.,"Red Deer County, AB T0M 1R0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Alberta,  Agriculture primaire,Pastink Pork Ltd.,"Taber, AB T1G 2E1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,Peeters Dairy Ltd.,"Calmar, AB T0C 0V0",8431-Ouvriers agricoles,3
Alberta,  Agriculture primaire,Philpott Honey Producers Ltd.,"Brooks, AB T1R 1B5",8431-Ouvriers agricoles,9
Alberta,  Agriculture primaire,Pineview Solutions Inc.,"Pincher Creek, AB T0K 1W0",8431-Ouvriers agricoles,1
Alberta,  Agriculture primaire,Poelman Apiaries Ltd.,"Fort Macleod, AB T0L 0Z0",8431-Ouvriers agricoles,1
Alberta,  Agriculture primaire,Pohl Land & Cattle Ltd.,"Wetaskiwin, AB T9A 1X2",8431-Ouvriers agricoles,1
Alberta,  Agriculture primaire,Rainbow Greenhouses Alberta Inc.,"Iron Springs, AB T0K 1G0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Alberta,  Agriculture primaire,Rainbow Greenhouses Alberta Inc.,"Iron Springs, AB T0K 1G0",8432-Ouvriers de pépinières et de serres,88
Alberta,  Agriculture primaire,Red Rock Nursery LTD.,"Medicine Hat, AB T1B 4S6",8432-Ouvriers de pépinières et de serres,2
Alberta,  Agriculture primaire,Smoky Dirt Farm Ltd.,"Tangent, AB T0H 3J0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,Smoky Lake Forest Nursery Ltd.,"Smoky Lake, AB T0A 3C0",8432-Ouvriers de pépinières et de serres,45
Alberta,  Agriculture primaire,Spruit Farms ltd,"Red Deer, AB T4E 1R7","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,St. Albert Landscape Supply & Tree Farm Ltd.,"Sturgeon County, AB T8T 0T8",8432-Ouvriers de pépinières et de serres,2
Alberta,  Agriculture primaire,Stamp Seeds Ltd.,"Enchant, AB T0K 0V0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Alberta,  Agriculture primaire,Stronks Feedlot LTD,"Lethbridge County, AB T0K 1V0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Alberta,  Agriculture primaire,Sunwold Farms Ltd,"Acme, AB T0M 0A0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Alberta,  Agriculture primaire,Tebb Farms Ltd.,"Olds, AB T4H 1P2",8431-Ouvriers agricoles,1
Alberta,  Agriculture primaire,Van Giessen Growers Inc,"Coaldale, AB T1M 1M3",8431-Ouvriers agricoles,1
Alberta,  Agriculture primaire,Vermeer's Dairy Ltd,"Ohaton, AB T0B 3P0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Alberta,  Agriculture primaire,Weleschuk Farms LTD.,"Tofield, AB T0B 4J0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,Wiese Agricultural Enterprises Inc.,"Westlock, AB T7P 2P5","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Agriculture primaire,Woodstock Estate Ltd,"Sherwood Park, AB T8A 4C3","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,  Talent mondial,10380008 Canada Inc.,"CALGARY, AB T2P 3H9",2171-Analystes et consultants en informatique,1
Alberta,  Talent mondial,10380008 Canada Inc.,"CALGARY, AB T2P 3H9",2173-Ingénieurs et concepteurs en logiciel,4
Alberta,  Talent mondial,5centsCDN Inc.,"Edmonton, AB T6X 0K6",2174-Programmeurs et développeurs en médias interactifs,1
Alberta,  Talent mondial,"Avetta, LLC","Calgary, AB T2P 0J1",2171-Analystes et consultants en informatique,1
Alberta,  Talent mondial,Coppel Tech Inc,"Fort McMurray, AB T9K 2X6",2173-Ingénieurs et concepteurs en logiciel,1
Alberta,  Talent mondial,Flosum Software Corporation,"Calgary, AB T2M 3Y7",2171-Analystes et consultants en informatique,1
Alberta,  Talent mondial,Garmin Canada Inc.,"Cochrane, AB T4C 2N1",2147-Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),1
Alberta,  Talent mondial,GoodMorning.com Inc.,"Edmonton, AB T5K 2L9",2174-Programmeurs et développeurs en médias interactifs,1
Alberta,  Talent mondial,MNP Digital Inc.,"Calgary, AB T2P 0L4",2171-Analystes et consultants en informatique,1
Alberta,  Talent mondial,MoneyPrep Inc,"Edmonton, AB T5J 0K4",2174-Programmeurs et développeurs en médias interactifs,1
Alberta,  Talent mondial,NovAtel Inc.,"Calgary, AB T2E 8S5",2173-Ingénieurs et concepteurs en logiciel,1
Alberta,  Talent mondial,SDK TEK Services LTD.,"CALGARY, AB T3L 2H8",2172-Analystes de bases de données et administrateurs de données,2
