Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandés
,,"Canaan Shipping Co., Ltd","Richmond, BC V6V 3C9",6552-Autres préposés aux services d'information et aux services à la clientèle,1
,,Carrington Animal Hospital LTD,"West Kelowna, BC V4T 2N6",3213-Technologues en santé animale et techniciens vétérinaires,1
,,Chandni Enterprises Ltd,"Kelowna, BC V1X 3H6",6322-Cuisiniers,1
,,Choy's Holdings Incorporated,"Richmond, BC V6X 3H4","9462-Bouchers industriels, dépeceurs-découpeurs de viande, préparateurs de volaille et personnel assimilé",4
,,Costa Del Sol Holdings Ltd.,"Sechelt, BC V0N 3A0",6322-Cuisiniers,3
,,Critter Care Wildlife Society,"Langley, BC V2Z 1R6",6563-Soigneurs d'animaux et travailleurs en soins des animaux,1
,,Dae Ya Holdings Ltd.,"Abbotsford, BC V2S 3P6",6321-Chefs,1
,,Dynamic Windows & Doors Inc,"Abbotsford, BC V2T 6W3","9537-Monteurs, finisseurs et contrôleurs de produits divers",12
,,Elite Child Care Inc o/a Daycare Plus Child Development Centre,"West Vancouver, BC V7V 1S4",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,Falcon Foods Ltd,"Osoyoos, BC V0H 1V3",0631-Directeurs de la restauration et des services alimentaires,1
,,Farfalla Cafe Ltd.,"Burnaby, BC V5C 5J2",6322-Cuisiniers,1
,,Fornax Holdings Ltd,"Vancouver, BC V6E 1N1",6332-Boulangers-pâtissiers,3
,,Fraser Pacific Enterprises Inc.,"Mission, BC V2V 5T1",1111-Vérificateurs et comptables,1
,,Galaxy Insulation & Drywall Ltd.,"Surrey, BC V3V 8A9",7611-Aides de soutien des métiers et manoeuvres en construction,2
,,Genji Enterprises Ltd,"North Vancouver, BC V7H 2Y5",6311-Superviseurs des services alimentaires,1
,,Georgia Pizza Inc. dba Domino's Pizza,"Whistler, BC V0N 1B4",6311-Superviseurs des services alimentaires,1
,,Ginger Indian Cusine Inc.,"Richmond, BC V6X 3R2",6322-Cuisiniers,2
,,GK Fresh Foods Ltd.,"Lillooet, BC V0K 1V0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",2
,,Gold Star Investments Ltd,"Vancouver, BC V6G 2L8",6322-Cuisiniers,2
,,Great Heights Buidling Maintenance Ltd.,"Vancouver, BC V5T 4M9",6315-Surveillants des services de nettoyage,1
,,Grouse Creek Hotel Ltd.,"Surrey, BC V3V 5W3",6312-Gouvernants principaux,1
,,Helena Hair Salon,"North Vancouver, BC V7L 2P9",6341-Coiffeurs et barbiers,1
,,Hiko Sushi,"Abbotsford, BC V3G 2K8",6322-Cuisiniers,1
,,Hiraku Sushi Ltd.,"Coquitlam, BC V3E 0J5",6322-Cuisiniers,1
,,Hong-Min Food Corporation,"Richmond, BC V6X 3K8",6322-Cuisiniers,1
,,Imperial Ceramica Ltd.,"Delta, BC V4C 3L4",7611-Aides de soutien des métiers et manoeuvres en construction,1
,,Inifinity Langley Ventures Inc - Montana 3072,"Langley, BC V3A 9J7",0631-Directeurs de la restauration et des services alimentaires,2
,,Inno Foods Inc.,"Coquitlam, BC V3K 7C2","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",2
,,International Cosmeticare Inc.,"Richmond, BC V7A 4X9",6314-Superviseurs des services d'information et des services à la clientèle,1
,,Island Vibez Hair Studio and Accessories Inc,"Surrey, BC V3T 2A9",6341-Coiffeurs et barbiers,1
,,Kami Pizza Ltd.,"Kamloops, BC V2C 0B6",6322-Cuisiniers,3
,,Kamloops Thai Massage,"Kamloops, BC V1S 1T7",3236-Massothérapeutes,3
,,Kent Picture Framing Ltd.,"Vancouver, BC V6J 1V4",5212-Personnel technique des musées et des galeries d'art,1
,,KJH Langley Sushi Mori Restaurant Ltd.,"Langley, BC V2Y 1A6",6322-Cuisiniers,1
,,Koutsantonis Enterprises Ltd.,"Kelowna, BC V1X 1X6",6321-Chefs,1
,,La Meza Grill Ltd,"Surrey, BC V3V 7K5",6322-Cuisiniers,1
,,Luso Concrete (2007) Ltd.,"Maple Ridge, BC V2X 9J8",7611-Aides de soutien des métiers et manoeuvres en construction,2
,,M.K.M. Food Services Ltd.,"Kamloops, BC V2B 8B7",6311-Superviseurs des services alimentaires,1
,,Mai Thai Thai Restaurant Ltd.,"Prince George, BC V2L 2A6",6322-Cuisiniers,1
,,Mamalee Malaysian Delight Ltd.,"Vancouver, BC V6K 2H3",6322-Cuisiniers,1
,,Minerva Pizza & Restaurants Ltd.,"Vancouver, BC V6M 2A5",6321-Chefs,1
,,Mitgar Enterprises Ltd,"Sooke, BC V9Z 0A5","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,,N S H Enterprises Ltd.,"Vancouver, BC V6Z 1A6",6311-Superviseurs des services alimentaires,1
,,New Beginnings Early Learning (Richmond) Ltd.,"Richmond, BC V6X 2A4",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,New Concept Motors Inc.,"New Westminister, BC V3L 3E9",6211-Superviseurs des ventes - commerce de détail,1
,,Nikolai Manufacturing Inc.,"New Westminster, BC V3M 6L5",7611-Aides de soutien des métiers et manoeuvres en construction,1
,,,,9533-Monteurs et contrôleurs d'autres produits en bois,1
,,Pacific Hotel Ltd,"Greenwood, BC V0H 1J0",6321-Chefs,1
,,,,6322-Cuisiniers,1
,,Padda Enterprises Ltd.,"Surrey, BC V3T 1E6",6322-Cuisiniers,1
,,Payless Auto Towing Ltd.,"North Vancouver, BC V7J 3V8",7452-Manutentionnaires,1
,,Pearl Investments Inc.,"Smithers, BC V0J 2N0",6311-Superviseurs des services alimentaires,1
,,Pender Auto Body Ltd.,"Vancouver, BC V5L 1W2",7322-Débosseleurs et réparateurs de carrosserie,2
,,Play-n-Grow Child Care Centre Inc.,"Surrey, BC V3V 7J2",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,Potter's Garden Korean Restaurant Ltd.,"Burnaby, BC V5H 2G3",6322-Cuisiniers,1
,,Prospective Investment Inc.,"Richmond, BC V6V 2X8",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,Red Resort Limited Partnership,"Rossland, BC V0G 1Y0","0513-Directeurs de programmes et de services de sports, de loisirs et de conditionnement physique",1
,,S Sangha Enterprises Ltd,"Vancouver, BC V5Y 1R4","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,,San Josef Investments Ltd.,"Gibsons, BC V0N 1V0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,,Sandong Restaurant,"Coquitlam, BC V3K 3V8",6322-Cuisiniers,1
,,Sierra North Enterprises Ltd.,"Charlie Lake, BC V0C 1H0",6211-Superviseurs des ventes - commerce de détail,1
,,Sogai Industries Inc,"Victoria, BC V8W 1E1",6322-Cuisiniers,2
,,Spice of Punjab Sweets & Restaurant Ltd.,"Surrey, BC V3X 3K1",6322-Cuisiniers,1
,,Spring Travels (P) Ltd.,"Surrey, BC V3W 0E6",6521-Conseillers en voyages,3
,,Strub Sports Designs Inc.,"Vancouver, BC V6H 3S4",0621-Directeurs - commerce de détail et de gros,1
,,Sun Bo Kong Vegetarian Restaurant Inc.,"Vancouver, BC V5V 3E3",0631-Directeurs de la restauration et des services alimentaires,1
,,Supreme Business Solutions Inc.,"Surrey, BC V3R 5G1",0621-Directeurs - commerce de détail et de gros,1
,,Thai Cleaning,"Prince George, BC V2M 6X6",6733-Concierges et surintendants d'immeubles,1
,,Thai Delight Inc.,"Vancouver, BC V6E 1N2",6322-Cuisiniers,1
,,The Michael Lacombe Group Inc.,"Vancouver, BC V6Z 1K7",6311-Superviseurs des services alimentaires,1
,,True North Landscaping,"North Vancouver, BC V7J 1P6",8612-Manoeuvres en aménagement paysager et en entretien des terrains,1
,,Ultimate Pro Enterprises Inc.,"Burnaby, BC V5H 2A1",6322-Cuisiniers,1
,,Vancouver Screens Ltd,"Surrey, BC V3R 0C3","9537-Monteurs, finisseurs et contrôleurs de produits divers",1
,,Wu & Company,"Vancouver, BC V6H 3X8",1311-Techniciens en comptabilité et teneurs de livres,1
,,Xcelcor Cleaning,"Surrey, BC V3S 5J9",6421-Vendeurs - commerce de détail,1
,  Agriculture primaire,0763007 BC Ltd.,"Surrey, BC V3W 4G1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",6
,,,,"8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",4
,,,,8431-Ouvriers agricoles,35
,,A. P. Sandhar Holdings Ltd,"Kelowna, BC V1P 1B7",8431-Ouvriers agricoles,27
,,Boparai Farm,"Abbotsford, BC V2T 6B5",8431-Ouvriers agricoles,3
,,Busra Mushroom Farm Ltd,"Surrey, BC V3S 0L5","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",6
,,,,8431-Ouvriers agricoles,28
,,Caspian Apiaries Inc.,"Delta, BC V4C 2P7",8431-Ouvriers agricoles,10
,,Darvonda Nurseries Ltd,"Langley, BC V2Y 0W9","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
,,Dosanjh Farm Ltd.,"Abbotsford, BC V4X 2C6","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,Harvest Direct Farm Ltd.,"Osoyoos, BC V0H 1V4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,,,8431-Ouvriers agricoles,8
,,Holland Landscapers Inc.,"Vancouver, BC V6B 3W2","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,,KDK Blueberry Farm,"Surrey, BC V3S 3X5","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,Mahal Farms Ltd.,"Richmond, BC V6V 1A8",8431-Ouvriers agricoles,2
,,Maple Hills Farm,"Abbotsford, BC V4X 1Y3",8431-Ouvriers agricoles,8
,,Oldfield Orchard and Bakery,"Victoria, BC V8Y 1Y2",8431-Ouvriers agricoles,1
,,Rainbow Greenhouses Inc,"Chilliwack, BC V2R 4L6",8432-Ouvriers de pépinières et de serres,10
,,T & T Mushroom Farm Ltd.,"Aldergrove, BC V4W 1K4",8611-Manoeuvres à la récolte,36
,,The Vineyard @ The Rise Ltd,"Vernon, BC V1T 9L8",8431-Ouvriers agricoles,4
,,W. Friesen Farms,"Surrey, BC V3S 9S7","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
Territoires-du-Nord-Ouest,   Bas salaire,1845945 Alberta Ltd,"Hay River, NT X0E 0R8",6211-Superviseurs des ventes - commerce de détail,1
,,4720 NWT LTD,"Yellowknife, NT X1A 2P4",6531-Guides touristiques et guides itinérants,6
,,Kailun Trading Co Ltd.,"Fort Smith, NT X0E 0P0",6322-Cuisiniers,1
,,Northwestern Air Lease Ltd,"Fort Smith, NT X0E 0P0",7315-Mécaniciens et contrôleurs d'aéronefs,1
,,NWT Brewing Company Ltd.,"Yellowknife, NT X1A 2V7",6321-Chefs,1
,,Ptarmigan Inn Hotels Ltd.,"Hay River, NT X0E 1G1",0631-Directeurs de la restauration et des services alimentaires,1
,,,,6311-Superviseurs des services alimentaires,1
Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada,    Haut salaire,Anonymous Content LLC,"Culver City, 90232","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Backyard Productions LLC.,"Marina Del Ray, 90292","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,"Biscuit Filmworks, LLC","Los Angeles, 90038","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,BOB Industries LLC,"Santa Monica, 90401","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Community Films Inc.,"Culver City, 90232","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,"Framestore, Inc.","Culver City, 90232","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Frozen Man Inc.,"New York, 10011","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,"Humble TV, LLC","New York, 10011","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Minted Content,"Santa Monica, 90405","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,"Morton Jankel Zander, Inc.","Los Angeles, 90064","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",3
,,"Park Pictures, LLC","New York, 10010","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,Pecubu Productions Inc,"Santa Monica, 90404","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Radical Media LLC,"Santa Monica, 90404","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,"Reset Content, LLC","Santa Monica, 90404","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Sibling Rivalry Films LLC,"New York, 10013","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Slim Pictures Inc.,"Venice, 90291","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Splendid & Co,"Los Angeles, 90025","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Stink LLC,"Culver City, 90232","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",4
,,Superprime Films,"Culver City, 90232","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Notes:,,,,,
1. Tous les renseignements utilisés dans la présente publication proviennent du Système d'étude d'impact sur le marché du travail (SEIMT) d'Emploi et Développement social Canada.,,,,,
"2. Cette liste exclut tous les informations personnelles, tels que le nom des employeurs des fournisseurs de soins à domicile ou les noms d'entreprises qui incluent des noms personnels. Pour cette raison, cette liste est incomplète et ne contient pas tous les employeurs qui ont soumis ou obtenu une EIMT. Si un employeur souhaite communiquer avec EDSC concernant l'exactitude de leur information, prière de communiquer au NA-TFWP-PTET@hrsdc-rhdcc.gc.ca.  ",,,,,
3. Les noms des employeurs sont entrés manuellement dans le Système et peuvent faire l’objet d’erreurs dans la saisie de donnée.           ,,,,,
"4. Le système de Classification nationale des professions (CNP) 2011, est utilisé depuis novembre 2016. Avant novembre 2016, les professions classifiées sous le CNP 2006 étaient converti selon les professions correspondantes sous le CNP 2011. Une concordance empirique développée par Statistique Canada a été utilisée pour identifier la classification équivalente.                                                                              ",,,,,
"5. En vigueur à partir de février 2018, toutes les EIMT en appui à la résidence permanente (RP) sont exclues des rapports statistiques du PTET, sauf lorsque distinguées séparément. Ceci pourrait affecter les statistiques rapportées au fil du temps.",,,,,
"6. Les données issues du SEIMT concernent le nombre de postes de TÉTs visés, et non le nombre de permis de travail délivrés. Pour obtenir des renseignements sur le nombre de permis de travail délivrés, consultez le document: Faits et chiffres d'Immigration, Réfugiés et Citoyenneté Canada (IRCC) : www.cic.gc.ca/francais/ressources/statistiques/menu-faits.asp",,,,,
"7. Les chiffres indiqués dans la présente publication peuvent différer légèrement de ceux contenus dans les versions précédentes des statistiques des EIMT, en raison des mises à jour des données qui ont eu lieu entre temps.",,,,,
