"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (October-December)",b,c,d,e,f
Ontario,  Primary Agriculture,BRADFORD GREENHOUSES LTD.,"BARRIE, ON L9X 1T7",8432-Nursery and greenhouse workers,52
Ontario,  Primary Agriculture,Braun Nursery Limited,"Mount Hope, ON L0R 1W0",8432-Nursery and greenhouse workers,28
Ontario,  Primary Agriculture,Brenn-B Farms Limited,"Waterdown, ON L8B 1L8",8431-General farm workers,27
Ontario,  Primary Agriculture,BriLin Farms Ltd.,"Scotland, ON N0E 1R0",8431-General farm workers,15
Ontario,  Primary Agriculture,Brookdale Treeland Nurseries Ltd.,"Schomberg, ON L0G 1T0",8432-Nursery and greenhouse workers,85
Ontario,  Primary Agriculture,Brooks Farms Ltd,"Mount Albert, ON L0G 1M0",8431-General farm workers,6
Ontario,  Primary Agriculture,Brooymans Farms Ltd,"Port Stanley, ON N5L 1J2",8611-Harvesting labourers,12
Ontario,  Primary Agriculture,BujnowskiFarms Inc,"Mt. Brydges, ON N0L 1W0",8431-General farm workers,6
Ontario,  Primary Agriculture,Bull Market Farms Inc.,"Leamington, ON N8H 3V5",8431-General farm workers,23
Ontario,  Primary Agriculture,Bull Market Farms Inc.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,32
Ontario,  Primary Agriculture,Burnham Family Farm Market Ltd.,"Cobourg, ON K9A 0X4",8431-General farm workers,4
Ontario,  Primary Agriculture,C&B Farms Inc.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,10
Ontario,  Primary Agriculture,C. & J. Ginseng Inc.,"Mt. Pleasant, ON N0E 1K0",8431-General farm workers,13
Ontario,  Primary Agriculture,C.J. Bradley & Sons Limited,"Cottam, ON N0R 1B0",8431-General farm workers,4
Ontario,  Primary Agriculture,Caledon Produce Farms Ltd.,"Burford, ON N0E 1A0",8431-General farm workers,5
Ontario,  Primary Agriculture,Canadale Nurseries Limited,"St. Thomas, ON N5R 3C4",8432-Nursery and greenhouse workers,17
Ontario,  Primary Agriculture,Canadian Imperial Ginseng Ontario Ltd.,"Otterville, ON N0J 1R0",8431-General farm workers,33
Ontario,  Primary Agriculture,Canadian Poultry Services Inc.,"Mildmay, ON N0G 2J0",8431-General farm workers,5
Ontario,  Primary Agriculture,Capogna Flowers Inc,"Kingsville, ON N9Y 2E4",8432-Nursery and greenhouse workers,34
Ontario,  Primary Agriculture,Casteels Greenhouses Ltd.,"Baltimore, ON K0K 1C0",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Cave Spring Cellars Partnership,"Jordan, ON L0R 1S0",8431-General farm workers,7
Ontario,  Primary Agriculture,Cedar Grove Pork Ltd.,"Bluevale, ON N0G 1G0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Cedar Valley Nursery Inc.,"Stouffville, ON L4A 2M7",8432-Nursery and greenhouse workers,27
Ontario,  Primary Agriculture,Cervini Farms (1993) Inc.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,114
Ontario,  Primary Agriculture,Chateau des Charmes Wines Ltd.,"Niagara-On-The-Lake, ON L0S 1J0",8431-General farm workers,23
Ontario,  Primary Agriculture,Chieftain Dairy Farms Ltd.,"New Liskeard, ON P0J 1P0",8431-General farm workers,1
Ontario,  Primary Agriculture,Chip's Produce Ltd,"Bradford, ON L3Z 4A7",8431-General farm workers,22
Ontario,  Primary Agriculture,Chosen Fresh Farms Ltd.,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,20
Ontario,  Primary Agriculture,Chow's Farms Ltd,"Hornby, ON L0P 1E0",8431-General farm workers,5
Ontario,  Primary Agriculture,chpajo farms ltd.,"wallaceburg, ON N8A 4L3",8431-General farm workers,17
Ontario,  Primary Agriculture,CJB Farms Inc.,"Norwich, ON N0J 1P0",8431-General farm workers,7
Ontario,  Primary Agriculture,Clearview Nursery Ltd,"Stayner, ON L0M 1S0",8432-Nursery and greenhouse workers,8
Ontario,  Primary Agriculture,Closson Chase Vineyards Inc.,"Hillier, ON L0L 2J0",8431-General farm workers,8
Ontario,  Primary Agriculture,Cloverhurst Farms Inc,"Navan, ON K4B 0B5",8431-General farm workers,1
Ontario,  Primary Agriculture,Coivic specimen trees,"MILTON, ON L9E 1A3",8432-Nursery and greenhouse workers,6
Ontario,  Primary Agriculture,Col-Mac Orchards Limited,"Kingsville, ON N9Y 2M2",8431-General farm workers,10
Ontario,  Primary Agriculture,Colonial Florists Ltd.,"St. Catharines, ON L2M 1M4",8432-Nursery and greenhouse workers,27
Ontario,  Primary Agriculture,Corner Ridge Farms Ltd,"St. Marys, ON N4X 1C5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Covemaeker Farms Inc.,"Bothwell, ON N0P 1C0",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,Creamery Road Farms Ltd.,"Ailsa Craig, ON N0M 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Creekside Greenhouses Limited,"Jordan Station, ON L0R 1S0",8431-General farm workers,18
Ontario,  Primary Agriculture,Cristofari Farms Inc,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,4
Ontario,  Primary Agriculture,Crombez Inc,"Otterville, ON N0J 1R0",8431-General farm workers,5
Ontario,  Primary Agriculture,Cronin Farms Ltd,"Bluevale, ON N0G 1G0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Cronin Farms Ltd,"Bluevale, ON N0G 1G0",8431-General farm workers,6
Ontario,  Primary Agriculture,Cronin Pork Ltd.,"Bluevale, ON N0G 1G0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Crop Defenders Ltd.,"Windsor, ON N9B 3W8",8431-General farm workers,6
Ontario,  Primary Agriculture,Crystal Farms Limited,"leamington, ON N8H 3V4",8431-General farm workers,2
Ontario,  Primary Agriculture,Cuddy Farms Limited 2008,"Strathroy, ON N7G 3H6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Cuddy Farms Limited 2008,"Strathroy, ON N7G 3H6",8431-General farm workers,25
Ontario,  Primary Agriculture,D.R.Whiteside Farms Ltd,"Tillsonburg, ON N4G 4G8",8431-General farm workers,5
Ontario,  Primary Agriculture,Dalton White Farms Ltd.,"Delhi,, ON N4B 2E1",8431-General farm workers,42
Ontario,  Primary Agriculture,Dalton White Farms Ltd.,"Delhi,, ON N4B 2E1",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Danesville Holsteins Ltd,"Tavistock, ON N0B 2R0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,David's Greenhouses,"Ottawa, ON K1H 7N5",8432-Nursery and greenhouse workers,4
Ontario,  Primary Agriculture,De Carolis Farming Corporation,"Simcoe, ON N3Y 4K1",8431-General farm workers,28
Ontario,  Primary Agriculture,DeBackere Farm Market,"Union, ON N0L 2L0",8431-General farm workers,10
Ontario,  Primary Agriculture,DEBCO (GINSENG) LIMITED,"Scotland, ON N0E 1R0",8431-General farm workers,12
Ontario,  Primary Agriculture,Del Sol Greenhouses Inc.,"Kingsville, ON N9Y 2E4",8432-Nursery and greenhouse workers,16
Ontario,  Primary Agriculture,Delhaven Orchards Ltd.,"Blenheim, ON N0P 1A0",8431-General farm workers,22
Ontario,  Primary Agriculture,Dem Corner Farms Ltd.,"RR#2 Vanessa, ON N0E 1V0",8431-General farm workers,4
Ontario,  Primary Agriculture,Dengrow Inc.,"TILLSONBURG, ON N4G 4G7",8431-General farm workers,8
Ontario,  Primary Agriculture,Dentz Orchards and Berry Farm Inc,"Iroquois, ON K0E 1K0",8431-General farm workers,38
Ontario,  Primary Agriculture,DeVries Fruit Farm Ltd,"Fenwick, ON L0S 1C0",8431-General farm workers,21
Ontario,  Primary Agriculture,Di Ciocco Farms Eastside Inc,"Leamington, ON N8H 3V6",8432-Nursery and greenhouse workers,31
Ontario,  Primary Agriculture,Di Ciocco Farms Incorporated,"Leamington, ON N8H 3V6",8431-General farm workers,10
Ontario,  Primary Agriculture,Di Ciocco Farms Incorporated,"Leamington, ON N8H 3V6",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,Di Ciocco Sonny Farms Inc,"Leamington, ON N8H 3V6",8431-General farm workers,11
Ontario,  Primary Agriculture,Diane & Gerry Rochon Garden Inc.,"Edwards, ON K0A 1V0",8431-General farm workers,16
Ontario,  Primary Agriculture,Dickey Bee Honey Inc.,"Cookstown, ON L0L 1L0",8431-General farm workers,2
Ontario,  Primary Agriculture,DIMENNA NURSERIES LIMITED,"Ruthven, ON N0P 2G0",8432-Nursery and greenhouse workers,7
Ontario,  Primary Agriculture,DK Sioen Farms Inc.,"Burford, ON N0E 1A0",8431-General farm workers,3
Ontario,  Primary Agriculture,Domric International Ltd.,"Ruthven, ON N0P 2G0",8432-Nursery and greenhouse workers,22
Ontario,  Primary Agriculture,Don Chapman Farms Limited,"Queensville, ON L0G 1R0",8431-General farm workers,10
Ontario,  Primary Agriculture,DORSEY FARMS LIMITED,"Beeton, ON L0G 1A0",8431-General farm workers,8
Ontario,  Primary Agriculture,Downey Potato Farms Inc.,"Melancthon, ON L9V 1T6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Downey Potato Farms Inc.,"Melancthon, ON L9V 1T6",8431-General farm workers,4
Ontario,  Primary Agriculture,Droogendyk's Produce Ltd.,"Scotland, ON N0E 1R0",8431-General farm workers,6
Ontario,  Primary Agriculture,Drost Cattle Inc.,"Fergus, ON N1M 2W3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,DT Enterprise Farms Ltd,"Ruthven, ON N0P 2G0",8432-Nursery and greenhouse workers,37
Ontario,  Primary Agriculture,DUTCH MILL GARDENS INC,"Lynden, ON L0R 1T0",8431-General farm workers,42
Ontario,  Primary Agriculture,DUTCHMASTER NURSERIES LTD,"Brougham, ON L0H 1A0",8432-Nursery and greenhouse workers,76
Ontario,  Primary Agriculture,DVD FARMS LIMITED,"Leamington, ON N8H 3V7",8432-Nursery and greenhouse workers,5
Ontario,  Primary Agriculture,Dykstra Orchards Ltd,"Clarksburg, ON N0H 1J0",8431-General farm workers,12
Ontario,  Primary Agriculture,E & B Medel Orchards Ltd.,"Ruthven, ON N0P 2G0",8431-General farm workers,12
Ontario,  Primary Agriculture,Eagle Pork Inc,"West Lorne, ON N0L 2P0",8431-General farm workers,3
Ontario,  Primary Agriculture,Eau Road Farms Ltd.,"Blenheim, ON N0P 1A0",8431-General farm workers,6
Ontario,  Primary Agriculture,Ed Sobkowich Greenhouses Ltd.,"Grimsby, ON L3M 3B9",8432-Nursery and greenhouse workers,4
Ontario,  Primary Agriculture,EDGEWOOD ORCHARDS INC,"Jordan Station, ON L0R 1S0",8431-General farm workers,22
Ontario,  Primary Agriculture,Emerald Acres Greenhouses Inc.,"Kingsville, ON N9Y 2E4",8432-Nursery and greenhouse workers,13
Ontario,  Primary Agriculture,Emre Farms Inc.,"WINDHAM CENTRE, ON N0E 2A0",8431-General farm workers,13
Ontario,  Primary Agriculture,eNature Greenhouses Inc.,"Carlisle, ON L0R 1H0",8432-Nursery and greenhouse workers,11
Ontario,  Primary Agriculture,Envirofresh Produce Inc.,"Sombra, ON N0P 2H0",8431-General farm workers,29
Ontario,  Primary Agriculture,Environs Wholesale Nursery Ltd.,"St. Williams, ON N0E 1P0",8432-Nursery and greenhouse workers,16
Ontario,  Primary Agriculture,Erden Farms Ltd.,"St. Thomas, ON N5P 3T2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Erieview Acres Inc,"KINGSVILLE, ON N9Y 2N1",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,ES Holdings Inc.,"Courtland, ON N0J 1E0",8431-General farm workers,5
Ontario,  Primary Agriculture,ES Holdings Inc.,"Courtland, ON N0J 1E0",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,"Exeter Produce & Storage Company, Limited","Exeter, ON N0M 1S3",8431-General farm workers,67
Ontario,  Primary Agriculture,EZ GROW FARMS LTD.,"Langton, ON N0E 1G0",8431-General farm workers,18
Ontario,  Primary Agriculture,F.J. Giffen Farms Ltd,"Glen Huron, ON L0M 1L0",8431-General farm workers,8
Ontario,  Primary Agriculture,Ferme Hesnoda Inc,"Casselman, ON K0A 1M0",8431-General farm workers,2
Ontario,  Primary Agriculture,Feth Farms Ginseng Company Ltd.,"WINDHAM CENTRE, ON N0E 2A0",8431-General farm workers,27
Ontario,  Primary Agriculture,Feth Farms Ltd.,"WINDHAM CENTRE, ON N0E 2A0",8431-General farm workers,38
Ontario,  Primary Agriculture,Flamborough Flowers Ltd.,"Millgrove, ON L8B 1M9",8432-Nursery and greenhouse workers,13
Ontario,  Primary Agriculture,Flinkert Farms Inc.,"New Liskeard, ON P0J 1P0",8431-General farm workers,1
Ontario,  Primary Agriculture,Flower Group Operating Inc.,"Leamington, ON N8H 4C9",8432-Nursery and greenhouse workers,40
Ontario,  Primary Agriculture,Foliera Inc,"Beamsville, ON L0R 1B1",8432-Nursery and greenhouse workers,10
Ontario,  Primary Agriculture,Forrer Farms Inc,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,10
Ontario,  Primary Agriculture,Forthdale Farms Limited,"Lynden, ON L0R 1T0",8431-General farm workers,18
Ontario,  Primary Agriculture,Fox Sand Farming Ltd,"Vanessa, ON N0E 1V0",8431-General farm workers,23
Ontario,  Primary Agriculture,Fox Seeds Inc.,"Simcoe, ON N3Y 4K3",8611-Harvesting labourers,2
Ontario,  Primary Agriculture,Frank Sant Farms Ltd.,"Kleinburg, ON L0J 1C0",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Fresh Venture Farms Inc.,"Thedford, ON N0M 2N0",8431-General farm workers,3
Ontario,  Primary Agriculture,Fresh Venture Farms Inc.,"Thedford, ON N0M 2N0",8432-Nursery and greenhouse workers,12
Ontario,  Primary Agriculture,FRESKIW FARMS COLDWATER INC.,"COLDWATER, ON L0K 1E0",8432-Nursery and greenhouse workers,3
Ontario,  Primary Agriculture,Fruitwood Farms Ltd.,"Denfield, ON N0M 1P0",8431-General farm workers,25
Ontario,  Primary Agriculture,Fulsang Nurseries Inc.,"MILTON, ON L9E 1A3",8431-General farm workers,2
Ontario,  Primary Agriculture,G & M Howe & Sons Ltd,"Aylmer, ON N5H 2R4",8431-General farm workers,4
Ontario,  Primary Agriculture,G&J Bouw LTD,"Simcoe, ON N3Y 4J9",8431-General farm workers,7
Ontario,  Primary Agriculture,G.L. Hubbard Ltd,"Blyth, ON N0M 1H0",8431-General farm workers,4
Ontario,  Primary Agriculture,G.T.A. DE LEEBEECK LTD,"Vittoria, ON N0E 1W0",8431-General farm workers,28
Ontario,  Primary Agriculture,Gabriel Farm Management Ltd.,"Mount-Brydges, ON N0L 1W0",8431-General farm workers,8
Ontario,  Primary Agriculture,Gaetano's Green Acres Inc.,"Newmarket, ON L3Y 4V9",8431-General farm workers,12
Ontario,  Primary Agriculture,Gaio Acres Ltd.,"Niagara-On-The-Lake, ON L0S 1J0",8431-General farm workers,7
Ontario,  Primary Agriculture,Gamble & Rogers Limited,"Brussels, ON N0G 1H0",8431-General farm workers,7
Ontario,  Primary Agriculture,George Durocher and Sons Inc.,"Windsor, ON N9J 2C3",8431-General farm workers,33
Ontario,  Primary Agriculture,George II Farms Ltd,"Beamsville, ON L0R 1B1",8431-General farm workers,6
Ontario,  Primary Agriculture,George Sant & Sons Ltd.,"Kleinburg, ON L0J 1C0",8432-Nursery and greenhouse workers,29
Ontario,  Primary Agriculture,Geronne Farms Limited,"Chatham, ON N7M 5J4",8431-General farm workers,1
Ontario,  Primary Agriculture,Glen Drummond Farm Inc,"Dundas, ON L9H 5E2",8431-General farm workers,2
Ontario,  Primary Agriculture,Glenlake Orchards Ltd.,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,27
Ontario,  Primary Agriculture,Glenn Whiteside Farms ltd,"Alliston, ON L9R 1V2",8431-General farm workers,8
Ontario,  Primary Agriculture,GOL Corporation,"Paris, ON N3L 0A5",8431-General farm workers,12
Ontario,  Primary Agriculture,Golden Acre Farms Inc.,"Kingsville, ON N9Y 2E4",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Golden Harvest Farm / 2354479 ONTARIO INC.,"Newmarket, ON N3Y 4V9",8431-General farm workers,11
Ontario,  Primary Agriculture,Golden Maple Ginseng Farms Inc.,"Simcoe, ON N3Y 4K5",8431-General farm workers,3
Ontario,  Primary Agriculture,Golden Maple Ginseng Farms Inc.,"Simcoe, ON N3Y 4K5",8432-Nursery and greenhouse workers,3
Ontario,  Primary Agriculture,Grace Family Farms Ltd.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,58
Ontario,  Primary Agriculture,Grass Roots Farms King Ltd,"Kettleby, ON L7B 0C7",8431-General farm workers,3
Ontario,  Primary Agriculture,Great Lakes Greenhouses Inc.,"Leamington, ON N8H 3V6",8432-Nursery and greenhouse workers,15
Ontario,  Primary Agriculture,Greenfield Gardens Inc.,"Fenwick, ON L0S 1C0",8432-Nursery and greenhouse workers,12
Ontario,  Primary Agriculture,Greenhill Produce (Thamesville) Ltd,"Thamesville, ON N0P 2K0",8432-Nursery and greenhouse workers,109
Ontario,  Primary Agriculture,Greenlane Farms (2004) Ltd.,"Vineland Station, ON L0R 2E0",8431-General farm workers,12
Ontario,  Primary Agriculture,Grindstone Creek Nursery Inc.,"Carlisle, ON L0R 1H1",8432-Nursery and greenhouse workers,4
Ontario,  Primary Agriculture,Gwillimdale Farms Ltd.,"Bradford, ON L3Z 3M5",8431-General farm workers,25
Ontario,  Primary Agriculture,H & L Koelen Farms ltd,"Paisley, ON N0G 2N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,H G Versteegh Orchards Ltd,"Ilderton, ON N0M 2A0",8431-General farm workers,18
Ontario,  Primary Agriculture,H&A Mastronardi Farms Ltd.,"Kingsville, ON N9Y 2E5",8432-Nursery and greenhouse workers,10
Ontario,  Primary Agriculture,H.R. Marshall Farms Ltd.,"Ancaster, ON L9G 1P9",8431-General farm workers,2
Ontario,  Primary Agriculture,Habiland Farms Ltd.,"Norwich, ON N0J 1P0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Hacienda North Farms Inc.,"Wheatley, ON N0P 2P0",8431-General farm workers,5
Ontario,  Primary Agriculture,Hall Orchards Ltd,"Brockville, ON K6V 5T1",8431-General farm workers,6
Ontario,  Primary Agriculture,Hardie Wines Limited,"Wellington, ON K0K 3L0",8431-General farm workers,9
Ontario,  Primary Agriculture,Heeman Greenhouses Limited,"Thorndale, ON N0M 2P0",8432-Nursery and greenhouse workers,14
Ontario,  Primary Agriculture,Hendrix Genetics Ltd,"Kitchener, ON N2K 3S2",8431-General farm workers,4
Ontario,  Primary Agriculture,Henro Dairy Farms ltd.,"Kerwood, ON N0M 2B0",8431-General farm workers,1
Ontario,  Primary Agriculture,Henry J Peters Farms Limited,"Thedford, ON N0M 2N0",8431-General farm workers,1
Ontario,  Primary Agriculture,Hernder Vineyards Inc,"Niagara-On-The-Lake, ON L0S 1J0",8431-General farm workers,11
Ontario,  Primary Agriculture,Hevesi Farms Inc.,"Scotland, ON N0E 1R0",8431-General farm workers,5
Ontario,  Primary Agriculture,Hi-Berry Farm Inc,"Port Elgin, ON N0H 2C6",8431-General farm workers,30
Ontario,  Primary Agriculture,Hidden Bench Vineyards & Winery Inc,"Beamsville, ON L0R 1B0",8431-General farm workers,9
Ontario,  Primary Agriculture,High Octane Farms Inc,"Norwich, ON N0J 1P0",8432-Nursery and greenhouse workers,4
Ontario,  Primary Agriculture,Highline Produce Limited,"Leamington, ON N8H 3V5",8431-General farm workers,26
Ontario,  Primary Agriculture,Highline Produce Limited,"Leamington, ON N8H 3V5",8611-Harvesting labourers,52
Ontario,  Primary Agriculture,Hillen Nursery Ltd.,"MOUNT BRYDGES, ON N0L 1W0",8432-Nursery and greenhouse workers,23
Ontario,  Primary Agriculture,Hillside Gardens Ltd.,"Bradford, ON L3Z 2A6",8431-General farm workers,12
Ontario,  Primary Agriculture,Hillside Hothouse Ltd,"Ruthven, ON N0P 2G0",8431-General farm workers,5
Ontario,  Primary Agriculture,Hipple Farms Limited,"Beamsville, ON L0R 1B1",8431-General farm workers,7
Ontario,  Primary Agriculture,Hoftyzer Farms Ltd.,"FRANKFORD, ON K0K 2C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Holburne Mushroom Farm (2005) Limited,"Queensville, ON L0G 1R0",8431-General farm workers,2
Ontario,  Primary Agriculture,Holland Acres Incorporated,"Newmarket, ON L3Y 4V9",8431-General farm workers,9
Ontario,  Primary Agriculture,Hope Family Pork Ltd.,"Parkhill, ON N0M 2K0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Ontario,  Primary Agriculture,Hope Family Pork Ltd.,"Parkhill, ON N0M 2K0",8431-General farm workers,4
Ontario,  Primary Agriculture,Hope Lane Farms Inc,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,7
Ontario,  Primary Agriculture,HORTICO INC,"Waterdown, ON L0R 2H1",8431-General farm workers,18
Ontario,  Primary Agriculture,Howell Family Pumpkin Farm,"Fonthill, ON L0S 1E6",8431-General farm workers,2
Ontario,  Primary Agriculture,Hubbs Creek Vineyard Inc.,"Hillier, ON K0K 2J0",8431-General farm workers,1
Ontario,  Primary Agriculture,Huigen Bros.Farms Ltd.,"Dunnville, ON N1A 2W8",8431-General farm workers,4
Ontario,  Primary Agriculture,Hunter Farms Limited,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,7
Ontario,  Primary Agriculture,Hutchinson Farm Inc,"Burlington, ON L7M 0R3",8431-General farm workers,4
Ontario,  Primary Agriculture,Huybers Hog Haven Ltd.,"Wyoming, ON N0N 1T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,I.P.R. Farms Ltd,"Kingsville, ON N9Y 2E4",8432-Nursery and greenhouse workers,15
Ontario,  Primary Agriculture,Imani Farms Ltd,"Listowel, ON N4W 3G7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,J & J Atkinson farms inc,"Vanessa, ON N0E 1V0",8431-General farm workers,6
Ontario,  Primary Agriculture,J & M Sandhill Greenhouses Ltd,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,J G Arts Farms Ltd.,"MOUNT BRYDGES, ON N0L 1W0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,J&M Nyenhuis Ltd,"Sebringville, ON N0K 1X0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,J.C. Bakker & Sons Limited,"St. Catharines, ON L2R 6P9",8431-General farm workers,59
Ontario,  Primary Agriculture,J.C. Bakker & Sons Limited,"St. Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,21
Ontario,  Primary Agriculture,J.M. Hydroponics Ltd.,"Kingsville, ON N9Y 2N5",8432-Nursery and greenhouse workers,10
Ontario,  Primary Agriculture,J.M.F. PAIN COURT FARMS LTD.,"CHATHAM, ON N7M 5J7",8431-General farm workers,7
Ontario,  Primary Agriculture,JAKIN FARMS LTD,"Tavistock, ON N0B 2R0",8431-General farm workers,1
Ontario,  Primary Agriculture,Jc Fresh Farms Ltd.,"Kingsville, ON N9Y 2E5",8432-Nursery and greenhouse workers,9
Ontario,  Primary Agriculture,Jeffery's Greenhouses Inc.,"St. Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,13
Ontario,  Primary Agriculture,Jeffery's Greenhouses Plant II Limited,"Jordan Station, ON L0R 1S0",8432-Nursery and greenhouse workers,16
Ontario,  Primary Agriculture,Jennen Bros Inc,"Dresden, ON N0P 1M0",8431-General farm workers,17
Ontario,  Primary Agriculture,Joe and Angela Sroka Farm Produce Ltd.,"Burford, ON N0E 1A0",8431-General farm workers,9
Ontario,  Primary Agriculture,Joel Debrabandere Ltd,"Aylmer, ON N5H 2R4",8431-General farm workers,7
Ontario,  Primary Agriculture,John Beattie Farms Limited,"Alliston, ON L9R 1V5",8431-General farm workers,9
Ontario,  Primary Agriculture,Jomimaro Farms Inc,"Parkhill, ON N0M 2K0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Josmar Acres Inc.,"Lynden, ON L0R 1T0",8431-General farm workers,6
Ontario,  Primary Agriculture,JPI Acres Inc,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,13
Ontario,  Primary Agriculture,JPI Farms Inc.,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,10
Ontario,  Primary Agriculture,K J Watson Farms Limited,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,6
Ontario,  Primary Agriculture,K. Van Torre Ltd,"Burford, ON N0E 1A0",8431-General farm workers,4
Ontario,  Primary Agriculture,K.G.K PATIO FLOWERS INC.,"BURLIGTON, ON L7M 0P7",8431-General farm workers,4
Ontario,  Primary Agriculture,K.G.K PATIO FLOWERS INC.,"BURLIGTON, ON L7M 0P7",8432-Nursery and greenhouse workers,4
Ontario,  Primary Agriculture,Kai Wiens Family Farm Ltd.,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,42
Ontario,  Primary Agriculture,Karlo Estates Inc.,"Wellington, ON K0K 3L0",8431-General farm workers,3
Ontario,  Primary Agriculture,Kegels Ginseng Inc,"Scotland, ON N0E 1R0",8431-General farm workers,4
Ontario,  Primary Agriculture,Kejay Investments INC,"Pain Court, ON N0P 1Z0",8431-General farm workers,39
Ontario,  Primary Agriculture,Kell Farms Limited,"Gilford, ON L0L 1R0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Keresturi Farms Ltd.,"Scotland, ON N0E 1R0",8431-General farm workers,12
Ontario,  Primary Agriculture,Kerr Farms Ltd.,"Chatham, ON N7M 0M5",8431-General farm workers,12
Ontario,  Primary Agriculture,Klassen Greenhouse Farms Inc.,"Cottam, ON N0R 1B0",8432-Nursery and greenhouse workers,25
Ontario,  Primary Agriculture,Knapp's Nursery and Farms Ltd.,"Guelph, ON N1H 6H7",8431-General farm workers,1
Ontario,  Primary Agriculture,Kobes Nurseries Inc,"Bowmanville, ON L1C 3K2",8432-Nursery and greenhouse workers,37
Ontario,  Primary Agriculture,Koch Farms Agri-Sales Inc.,"Earlton, ON P0J 1E0",8431-General farm workers,1
Ontario,  Primary Agriculture,Komienski Limited,"Scotland, ON N0E 1R0",8431-General farm workers,2
Ontario,  Primary Agriculture,Konkle Farm and Greenhouses Ltd.,"Dunnville, ON N1A 2W1",8432-Nursery and greenhouse workers,27
Ontario,  Primary Agriculture,Konzelmann Vineyards Inc.,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,4
Ontario,  Primary Agriculture,KOTELES FARMS LIMITED,"TILLSONBURG, ON N4G 4G7",8431-General farm workers,63
Ontario,  Primary Agriculture,Kowanetz Farms Ltd,"Delhi, ON N4B 2W6",8431-General farm workers,5
Ontario,  Primary Agriculture,KTS Ginseng Inc.,"Burford, ON N0E 1A0",8431-General farm workers,4
Ontario,  Primary Agriculture,La Gantoise Inc,"Lefaivre, ON K0B 1J0",8431-General farm workers,2
