"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2021",b,c,d,e,f
Ontario,  Primary Agriculture,2774604 ONTARIO LIMITED,"RR# 1 Waterford, ON N0E 1Y0",8431-General farm workers,20
Ontario,  Primary Agriculture,408862 Ontario Ltd.,"Simcoe, ON N3Y 4K1",8431-General farm workers,3
Ontario,  Primary Agriculture,474178 Ontario Inc.,"Orillia, ON L3V 3M3",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,481799 Ontario Ltd.,"Waterloo, ON N2K 1K8",8431-General farm workers,2
Ontario,  Primary Agriculture,493605 Ontario Inc.,"Thamesville, ON N0P 2K0",8431-General farm workers,6
Ontario,  Primary Agriculture,4th Gen. Duwyn Farms Inc.,"LaSalette, ON N0E 1H0",8431-General farm workers,18
Ontario,  Primary Agriculture,5001947 Ontario Inc,"St. Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,3
Ontario,  Primary Agriculture,567795 Ontario Inc.,"Clear Creek, ON N0E 1C0",8431-General farm workers,2
Ontario,  Primary Agriculture,603513 Ontario Ltd,"Vanessa, ON N0E 1V0",8431-General farm workers,8
Ontario,  Primary Agriculture,638194 Ontario Inc. (Stefek Farms),"Simcoe, ON N3Y 4K6",8431-General farm workers,5
Ontario,  Primary Agriculture,744424 Ontario Limited ,"BEAMSVILLE, ON L0R 1B2",8431-General farm workers,5
Ontario,  Primary Agriculture,752920 Ontario Ltd.,"Earlton, ON P0J 1E0",8431-General farm workers,2
Ontario,  Primary Agriculture,756817 Ontario Ltd,"Bright, ON N0J 1B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,768308 Ontario Inc,"Thamesville, ON N0P 2K0",8431-General farm workers,30
Ontario,  Primary Agriculture,786367 Ontario Inc.,"Wallaceburg, ON N8A 4L2",8431-General farm workers,5
Ontario,  Primary Agriculture,869792 ONTARIO LTD,"Dresden, ON N0P 1M0",8431-General farm workers,4
Ontario,  Primary Agriculture,954521 Ontario Ltd.,"Niagara-On-The-Lake, ON L0S 1J0",8431-General farm workers,4
Ontario,  Primary Agriculture,959699 Ontario Inc.,"Wallaceburg, ON N8A 4L3",8431-General farm workers,3
Ontario,  Primary Agriculture,981351 Ontario Inc,"Blenheim, ON N0P 1A0",8431-General farm workers,10
Ontario,  Primary Agriculture,A.Eichhorn & Sons Ltd,"Newmarket, ON L3Y 4V9",8431-General farm workers,2
Ontario,  Primary Agriculture,A.H. Garden Produce Inc.,"Mississauga, ON L5J 3C5",8431-General farm workers,3
Ontario,  Primary Agriculture,Abbruzzese Farms Ltd.,"Kingsville, ON N9Y 2E5",8431-General farm workers,6
Ontario,  Primary Agriculture,Adam Demeulenaere Ltd.,"Brantford, ON N3R 0B8",8431-General farm workers,7
Ontario,  Primary Agriculture,Agriculture Environmental Renewal Canada (AERC) Inc.,"Ottawa, ON K2K 2Y1",8431-General farm workers,2
Ontario,  Primary Agriculture,Albuna Express Ltd.,"Leamington, ON N8H 3V5",8431-General farm workers,1
Ontario,  Primary Agriculture,Albuna Farms Inc.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,23
Ontario,  Primary Agriculture,Aldershot Greenhouses Limited,"Burlington, ON L7T 2M7",8432-Nursery and greenhouse workers,18
Ontario,  Primary Agriculture,Allberry Farms Inc.,"RR 1 Jordan, ON L0R 1S0",8431-General farm workers,9
Ontario,  Primary Agriculture,Amco Farms Inc.,"Leamington, ON N8H 3W1",8431-General farm workers,15
Ontario,  Primary Agriculture,Andrew Peller LTD,"GRIMSBY, ON L3M 4E8",8431-General farm workers,10
Ontario,  Primary Agriculture,Andrewes Farm Limited,"Beamsville, ON L0R 1B3",8431-General farm workers,25
Ontario,  Primary Agriculture,Aphria Inc,"LEAMINGTON, ON N8H 1N8",8432-Nursery and greenhouse workers,102
Ontario,  Primary Agriculture,Apple Investment & Marketing Services Corporation,"Caledon, ON L7C 2Y8",8431-General farm workers,2
Ontario,  Primary Agriculture,Apple Springs Orchards LTD.,"Clarksburg, ON N0H 1J0",8431-General farm workers,18
Ontario,  Primary Agriculture,Ardis Ranch Inc.,"Wallaceburg, ON N8A 4L3",8431-General farm workers,13
Ontario,  Primary Agriculture,ASHLEY GARDENS INC.,"Leamington, ON N8H 3V8",8431-General farm workers,4
Ontario,  Primary Agriculture,Atkinson Farms Ltd.,"Melancthon, ON L9V 2A2",8431-General farm workers,2
Ontario,  Primary Agriculture,Avonmore Berry Farm Inc.,"Avonmore, ON K0C 1C0",8431-General farm workers,9
Ontario,  Primary Agriculture,B&C NIGHTINGALE FARMS LTD,"LaSalette, ON N0E 1H0",8431-General farm workers,19
Ontario,  Primary Agriculture,B&E Honey Fields Ltd.,"NIAGARA ON THE LAKE, ON L0S 1J0",8431-General farm workers,12
Ontario,  Primary Agriculture,Babb Farms Inc.,"Aylmer, ON N5H 2R2",8431-General farm workers,4
Ontario,  Primary Agriculture,bacro farms inc,"Delhi, ON N4B 2W4",8431-General farm workers,5
Ontario,  Primary Agriculture,Barbara Farms Inc.,"Fingal, ON N0L 1K0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Beanhaven Family Farm Ltd,"Embro, ON N0J 1J0",8431-General farm workers,15
Ontario,  Primary Agriculture,Belview Acres ltd.,"blyth, ON N0M 1H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Ontario,  Primary Agriculture,Bercab Farms Inc.,"Tupperville, ON N0P 2M0",8431-General farm workers,25
Ontario,  Primary Agriculture,BEST ASIA FARMS LTD.,"Queensville, ON L0G 1R0",8431-General farm workers,26
Ontario,  Primary Agriculture,BHS Greenhouses Ltd.,"Simcoe, ON N3Y 4K3",8432-Nursery and greenhouse workers,6
Ontario,  Primary Agriculture,Birch Lawn Farms Ltd.,"Atwood, ON N0G 1B0",8431-General farm workers,3
Ontario,  Primary Agriculture,Birnam Orchards Ltd.,"Arkona, ON N0M 1B0",8431-General farm workers,20
Ontario,  Primary Agriculture,BLACK TOP ENDS LIMITED,"SCOTLAND, ON N0E 1L0",8431-General farm workers,12
Ontario,  Primary Agriculture,BMW FARMS INC.,"Delhi, ON N4B 2W6",8431-General farm workers,7
Ontario,  Primary Agriculture,Brabantdale Farms LTD,"Vars, ON K0A 3H0",8431-General farm workers,2
Ontario,  Primary Agriculture,Brad and Linda Claes Farms Limited,"Delhi, ON N4B 2W6",8431-General farm workers,3
Ontario,  Primary Agriculture,BRADFORD GREENHOUSES LTD.,"BARRIE, ON L9X 1T7",8432-Nursery and greenhouse workers,5
Ontario,  Primary Agriculture,Branch Farming Inc.,"Scotland, ON N0E 1R0",8431-General farm workers,5
Ontario,  Primary Agriculture,Brandy Creek Farms Ltd,"La Salette, ON N0E 1H0",8431-General farm workers,7
Ontario,  Primary Agriculture,Brenn-B Farms Limited,"Waterdown, ON L8B 1L8",8431-General farm workers,1
Ontario,  Primary Agriculture,Brookdale Treeland Nurseries Ltd.,"Schomberg, ON L0G 1T0",8432-Nursery and greenhouse workers,13
Ontario,  Primary Agriculture,Buehlmann Farms Inc.,"Springfield, ON N0L 2J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,BujnowskiFarms Inc,"MT. BRYDGES, ON N0L 1W0",8431-General farm workers,2
Ontario,  Primary Agriculture,Bull Market Farms Inc.,"Leamington, ON N8H 3V5",8431-General farm workers,2
Ontario,  Primary Agriculture,Bull Market Farms Inc.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,5
Ontario,  Primary Agriculture,Burning Kiln Winery Inc,"St. Williams, ON N0E 1P0",8431-General farm workers,3
Ontario,  Primary Agriculture,C&B Farms Inc.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,5
Ontario,  Primary Agriculture,C&R Atkinson Farms Ltd.,"St. Williams, ON N0E 1P0",8431-General farm workers,6
Ontario,  Primary Agriculture,C. & J. Ginseng Inc.,"Mt. Pleasant, ON N0E 1K0",8431-General farm workers,1
Ontario,  Primary Agriculture,C.J. Bradley & Sons Limited,"Cottam, ON N0R 1B0",8431-General farm workers,2
Ontario,  Primary Agriculture,Caledon Produce Farms Ltd.,"Burford, ON N0E 1A0",8431-General farm workers,39
Ontario,  Primary Agriculture,Camythorne Inc,"CHATHAM, ON N7M 5J3",8431-General farm workers,6
Ontario,  Primary Agriculture,Canadian Fruit Tree Nursery Co-operative Limited,"Jordan Station, ON L0R 1S0",8432-Nursery and greenhouse workers,4
Ontario,  Primary Agriculture,Canadian Imperial Ginseng Ontario Ltd.,"Otterville, ON N0J 1R0",8431-General farm workers,6
Ontario,  Primary Agriculture,Canadian Select Genetics LTD.,"Putnam, ON N0L 2B0",8431-General farm workers,8
Ontario,  Primary Agriculture,Capital  fruit farm Inc,"Simcoe, ON N3Y 4K6",8431-General farm workers,6
Ontario,  Primary Agriculture,Capogna Flowers Inc,"Kingsville, ON N9Y 2E4",8432-Nursery and greenhouse workers,9
Ontario,  Primary Agriculture,CARLETON CORNER FARMS LTD.,"MARIONVILLLE, ON K4R 1E5",8431-General farm workers,7
Ontario,  Primary Agriculture,Carleton Mushroom Farms Sales Ltd.,"OSGOODE, ON K0A 2W0",8611-Harvesting labourers,3
Ontario,  Primary Agriculture,Carron Farms Ltd.,"Bradford, ON L3Z 4C6",8431-General farm workers,2
Ontario,  Primary Agriculture,Casa-Dea Vineyard Limited Partnership,"Wellington, ON K0K 3L0",8431-General farm workers,6
Ontario,  Primary Agriculture,Cedar Flats Farm Ltd.,"Vanessa, ON N0E 1V0",8431-General farm workers,13
Ontario,  Primary Agriculture,Centennial Orchards Ltd,"Meaford, ON N4L 1W5",8611-Harvesting labourers,6
Ontario,  Primary Agriculture,Cervini Farms (1993) Inc.,"Leamington, ON N8H 3V5","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
Ontario,  Primary Agriculture,Cervini Farms (1993) Inc.,"Leamington, ON N8H 3V5",8431-General farm workers,7
Ontario,  Primary Agriculture,Cervini Farms (1993) Inc.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,20
Ontario,  Primary Agriculture,Chary Produce Ltd.,"Oakland, ON N0E 1L0",8431-General farm workers,114
Ontario,  Primary Agriculture,Cherry Avenue Farms Limited,"Beamsville, ON L0R 1B1",8431-General farm workers,8
Ontario,  Primary Agriculture,Chip's Produce Ltd,"Bradford, ON L3Z 4A7",8431-General farm workers,2
Ontario,  Primary Agriculture,Chudleighs Apple Farm Ltd,"Milton, ON L9T 0L9",8431-General farm workers,6
Ontario,  Primary Agriculture,Cielo Vista Farms Inc.,"Leamington, ON N8H 3V8",8431-General farm workers,12
Ontario,  Primary Agriculture,Cielo Vista Farms Inc.,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,80
Ontario,  Primary Agriculture,Clendenning Bayview Farms Inc.,"Blenheim, ON N0P 1A0",8431-General farm workers,31
Ontario,  Primary Agriculture,Clifton Parker and Son Limited,"RR#1 Union, ON N0L 2L0",8431-General farm workers,2
Ontario,  Primary Agriculture,Connon Nurseries Inc.,"Waterdown, ON L0R 2H0",8432-Nursery and greenhouse workers,46
Ontario,  Primary Agriculture,Cookstown Greens Inc,"Thornton, ON L0L 2N0",8431-General farm workers,4
Ontario,  Primary Agriculture,Cooper's CSA Farm Inc.,"Zephyr, ON L0E 1T0",8431-General farm workers,4
Ontario,  Primary Agriculture,Coppola Farms Inc.,"Kingsville, ON N9Y 2E4",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,Couture Flatland Farms Inc.,"Grande Pointe, ON N0P 1S0",8431-General farm workers,3
Ontario,  Primary Agriculture,Crimson Lane Farms Inc,"Moorefield, ON N0G 2K0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
Ontario,  Primary Agriculture,Cristofari Farms Inc,"Leamington, ON N8H 3V5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Cronos Growing Company Inc.,"Kingsville, ON N9Y 2E5",8432-Nursery and greenhouse workers,10
Ontario,  Primary Agriculture,D&E Herridge Holdings Inc.,"Mississauga, ON L5J 2Y4",8431-General farm workers,3
Ontario,  Primary Agriculture,DA FENG FARMS INC.,"Port Hope, ON L1A 3V5",8431-General farm workers,23
Ontario,  Primary Agriculture,Danesville Holsteins Ltd,"Tavistock, ON N0B 2R0",8431-General farm workers,1
Ontario,  Primary Agriculture,DARK FIRED TOBACCO FARMS INC.,"RR#3 BLENHEIM, ON N0P 1A0",8431-General farm workers,14
Ontario,  Primary Agriculture,Davenport Family Dairy Inc,"Owen Sound, ON N4K 5N8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,David & Shelley Crombey Ltd.,"Wallaceburg, ON N8A 4L1",8431-General farm workers,3
Ontario,  Primary Agriculture,David W. R. Assel Inc.,"Vittoria, ON N0E 1W0",8431-General farm workers,6
Ontario,  Primary Agriculture,De Sousa Vineyards,"BEAMSVILLE, ON L0R 1B2",8431-General farm workers,2
Ontario,  Primary Agriculture,Debackere Farms Inc,"Union, ON N0L 2L0",8431-General farm workers,43
Ontario,  Primary Agriculture,DeBrouwer Farms Ltd.,"Blenheim, ON N0P 1A0",8431-General farm workers,6
Ontario,  Primary Agriculture,Deconinck Farms Inc.,"Simcoe, ON N3Y 4K1",8431-General farm workers,8
Ontario,  Primary Agriculture,Den Boer Family Farm Inc.,"Otterville, ON N0J 1R0",8431-General farm workers,20
Ontario,  Primary Agriculture,Derek VanHeugten Farms Limited,"Simcoe, ON N3Y 4J9",8431-General farm workers,14
Ontario,  Primary Agriculture,Deschryver Farms Ltd.,"Blenheim, ON N0P 1A0",8431-General farm workers,13
Ontario,  Primary Agriculture,DeVries Fruit Farm Ltd,"Fenwick, ON L0S 1C0",8431-General farm workers,3
Ontario,  Primary Agriculture,Domric International Ltd.,"Ruthven, ON N0P 2G0",8431-General farm workers,8
Ontario,  Primary Agriculture,Donnandale Farms Inc.,"Stirling, ON K0K 3E0",8431-General farm workers,1
Ontario,  Primary Agriculture,Downey's Strawberry and Apple Farm Inc.,"Caledon, ON L7C 2K7",8431-General farm workers,4
Ontario,  Primary Agriculture,DRM Limited,"TILLSONBURG, ON N4G 4G7",8431-General farm workers,18
Ontario,  Primary Agriculture,DT Enterprise Farms Ltd,"Ruthven, ON N0P 2G0",8432-Nursery and greenhouse workers,7
Ontario,  Primary Agriculture,during farms limited,"alliston, ON L9R 1V9",8431-General farm workers,1
Ontario,  Primary Agriculture,DVS Farms Ltd.,"Tupperville, ON N0P 2M0",8431-General farm workers,36
Ontario,  Primary Agriculture,E&C Chromczak Holdings Inc.,"Courtland, ON N0J 1E0",8431-General farm workers,24
Ontario,  Primary Agriculture,E&J Collins Limited,"Mono, ON L9W 6R8",8431-General farm workers,6
Ontario,  Primary Agriculture,Eborall Farms Inc.,"Beamsville, ON L0R 1B1",8431-General farm workers,4
Ontario,  Primary Agriculture,EILERS FARMS (ONTARIO) INC.,"ZURICH, ON N0M 2T0",0821-Managers in agriculture,1
Ontario,  Primary Agriculture,EILERS FARMS (ONTARIO) INC.,"ZURICH, ON N0M 2T0",8431-General farm workers,2
Ontario,  Primary Agriculture,Eric Goncalves Inc,"Strathroy, ON N7G 3H3",8431-General farm workers,7
Ontario,  Primary Agriculture,Erie's Edge Farms Ltd,"Blenheim, ON N0P 1A0",8431-General farm workers,14
Ontario,  Primary Agriculture,Erieview Acres Inc,"KINGSVILLE, ON N9Y 2N1",8432-Nursery and greenhouse workers,3
Ontario,  Primary Agriculture,Er-Li Acres Ltd.,"Charing Cross, ON N0P 1G0",8431-General farm workers,1
Ontario,  Primary Agriculture,EUSI Farms Ltd.,"Warwick, ON N0N 1J4",8431-General farm workers,7
Ontario,  Primary Agriculture,"Exeter Produce & Storage Company, Limited","Exeter, ON N0M 1S3",8431-General farm workers,70
Ontario,  Primary Agriculture,EZ GROW FARMS LTD.,"Langton, ON N0E 1G0",8431-General farm workers,27
Ontario,  Primary Agriculture,F&A VEGGY-SYMPHONY AGRICULTURE INC.,"HAMILTON, ON L0R 1W0",8611-Harvesting labourers,3
Ontario,  Primary Agriculture,F&R Mushroom Farms Ltd.,"Greenwood, ON L1Y 1A2",8431-General farm workers,4
Ontario,  Primary Agriculture,F. MORO AND SONS LTD,"BRADFORD, ON L3Z 4B7",8431-General farm workers,6
Ontario,  Primary Agriculture,Ferguson Farms Inc.,"Garden Hill, ON L0A 1B0",8431-General farm workers,3
Ontario,  Primary Agriculture,Ferme Darkalin Inc,"Dalkeith, ON K0B 1E0",8431-General farm workers,1
Ontario,  Primary Agriculture,Fishers Farm,"JANETVILLE, ON L0B 1K0",8431-General farm workers,4
Ontario,  Primary Agriculture,Flower Group Operating Inc - One Floral Group,"Jordan Station, ON L0R 1S0",8432-Nursery and greenhouse workers,29
Ontario,  Primary Agriculture,Foliera Inc,"Beamsville, ON L0R 1B1",8432-Nursery and greenhouse workers,7
Ontario,  Primary Agriculture,Fosterholm Farms Inc.,"Picton, ON K0K 2T0",8431-General farm workers,3
Ontario,  Primary Agriculture,Fox Hollow Farms Inc.,"Langton, ON N0E 1G0",8432-Nursery and greenhouse workers,7
Ontario,  Primary Agriculture,Fox Sand Farming Ltd,"Vanessa, ON N0E 1V0",8431-General farm workers,3
Ontario,  Primary Agriculture,Frank Hewgill Enterprises Ltd,"Clarksburg, ON N0H 1J0",8431-General farm workers,85
Ontario,  Primary Agriculture,Frank Lafferty Limited,"Maidstone, ON N0R 1K0",8431-General farm workers,3
Ontario,  Primary Agriculture,Fred Nyland Produce Limited,"Millgrove, ON L8B 1T3",8431-General farm workers,10
Ontario,  Primary Agriculture,freskiw farms muskoka inc.,"Kilworthy, ON P0E 1G0",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,Freskiw Farms Sudbury Inc.,"Garson, ON P3L 1V6",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,G & H Wiley Ltd,"St Catharines, ON L2R 6P7",8431-General farm workers,2
Ontario,  Primary Agriculture,G & M Howe & Sons Ltd,"Aylmer, ON N5H 2R4",8431-General farm workers,59
Ontario,  Primary Agriculture,G.D.Byers Farms Inc,"Norwich, ON N0J 1P0",8431-General farm workers,8
Ontario,  Primary Agriculture,G.H.Lambe&Son Ltd.,"Meaford, ON N4L 1W7",8431-General farm workers,24
Ontario,  Primary Agriculture,G.J. Schnekenburger Farms Ltd.,"Rodney, ON N0L 2C0",8431-General farm workers,9
Ontario,  Primary Agriculture,George Braun and Sons Farms LTD,"Delhi, ON N4B 2W4",8431-General farm workers,38
Ontario,  Primary Agriculture,George Whaley & Sons Ltd.,"Ruthven, ON N0P 2G0",8431-General farm workers,17
Ontario,  Primary Agriculture,Geronne Farms Limited,"Chatham, ON N7M 5J4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Geronne Farms Limited,"Chatham, ON N7M 5J4",8431-General farm workers,1
Ontario,  Primary Agriculture,Glen Elgin Vineyard Management (2012) Inc.,"Jordan, ON L0R 1S0",8431-General farm workers,1
Ontario,  Primary Agriculture,Goodyear Farm Ltd,"Queensville, ON L0G 1R0",8431-General farm workers,172
Ontario,  Primary Agriculture,Great Lakes Greenhouses Inc.,"Leamington, ON N8H 3V6",8432-Nursery and greenhouse workers,13
Ontario,  Primary Agriculture,Grebenc Farms Inc.,"Niagara-On-The-Lake, ON L0S 1J0",8431-General farm workers,9
Ontario,  Primary Agriculture,Green Pack Produce Inc,"ORONO, ON L0B 1M0",8431-General farm workers,3
Ontario,  Primary Agriculture,GREEN VALLEY GARDEN CENTRE,"Kingsville, ON N9Y 2E4",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Greenlane Farms (2004) Ltd.,"Vineland Station, ON L0R 2E0",8431-General farm workers,33
Ontario,  Primary Agriculture,Gregory Greenhouses Inc.,"St. Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Greiden Farms Ltd,"St. Marys, ON N4X 1C5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Ontario,  Primary Agriculture,H. Richardson Farms Limited,"Kendal, ON L0A 1E0",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,H-9 Farms Ltd.,"Stratford, ON N5A 6S4",8431-General farm workers,1
Ontario,  Primary Agriculture,Hacienda North Farms Inc.,"Wheatley, ON N0P 2P0",8431-General farm workers,11
Ontario,  Primary Agriculture,hanns farms ltd,"La Salette, ON N0E 1H0",8431-General farm workers,45
Ontario,  Primary Agriculture,Hendrix Genetics Ltd,"Kitchener, ON N2K 3S2",8431-General farm workers,12
Ontario,  Primary Agriculture,Henro Dairy Farms ltd.,"Kerwood, ON N0M 2B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Henry J Peters Farms Limited,"Thedford, ON N0M 2N0",8431-General farm workers,2
Ontario,  Primary Agriculture,henry of pelham inc,"St Catharines, ON L2R 6P7",8431-General farm workers,6
Ontario,  Primary Agriculture,Highline Produce Limited,"Leamington, ON N8H 3V5",8611-Harvesting labourers,5
Ontario,  Primary Agriculture,Hildreth Orchards Limited,"Jordan Station, ON L0R 1S0",8431-General farm workers,3
Ontario,  Primary Agriculture,HILLIER CREEK ESTATES LIMITED,"HILLIER, ON K0K 2J0",8431-General farm workers,2
Ontario,  Primary Agriculture,Hillside Gardens Ltd.,"Bradford, ON L3Z 2A6",8431-General farm workers,27
Ontario,  Primary Agriculture,Hinterland Wine Company Ltd.,"HILLIER, ON K0K 2J0",8431-General farm workers,4
Ontario,  Primary Agriculture,Hoffer Farms Ltd.,"Innerkip, ON N0J 1M0",8431-General farm workers,1
Ontario,  Primary Agriculture,Hog-Wild Farms Ltd.,"Watford, ON N0M 2S0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Hog-Wild Farms Ltd.,"Watford, ON N0M 2S0",8431-General farm workers,1
Ontario,  Primary Agriculture,Holburne Mushroom Farm (2005) Limited,"Queensville, ON L0G 1R0",8611-Harvesting labourers,5
Ontario,  Primary Agriculture,Hollandale Farms Ltd,"King, ON L7B 0K6",8431-General farm workers,5
Ontario,  Primary Agriculture,Horizon Seeds Canada Inc.,"Courtland, ON N0J 1E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Howard Greenhouses & Produce Inc.,"Simcoe, ON N3Y 4K6",8431-General farm workers,18
Ontario,  Primary Agriculture,Hubert's Springhill Nursery (Pembroke) Inc.,"Pembroke, ON K8A 7H4",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,hudec farms limited,"Vanessa, ON N0E 1V0",8431-General farm workers,35
Ontario,  Primary Agriculture,Huffman Incorporated,"Vanessa, ON N0E 1V0",8431-General farm workers,17
Ontario,  Primary Agriculture,Huntingfield Farms Ltd.,"Listowel, ON N4W 2M7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Huntingfield Farms Ltd.,"Listowel, ON N4W 2M7",8431-General farm workers,2
Ontario,  Primary Agriculture,Islington Nurseries Ltd,"Toronto, ON M8Z 5S7",8432-Nursery and greenhouse workers,6
Ontario,  Primary Agriculture,J & L Walker Farms Ltd.,"Aylmer, ON N5H 2R1",8431-General farm workers,2
Ontario,  Primary Agriculture,j cleaver orchards inc,"Simcoe, ON N3Y 4K3",8431-General farm workers,15
Ontario,  Primary Agriculture,J F PRODUCE INC,"SCARBOROUGH, ON M1R 3B7",8431-General farm workers,20
Ontario,  Primary Agriculture,J&K Huyge LTD,"RR#1 La Salette, ON N0E 1H0",8431-General farm workers,7
Ontario,  Primary Agriculture,J. B. Puddicombe & Sons Ltd.,"STONEY CREEK, ON L8E 5K9",8431-General farm workers,13
Ontario,  Primary Agriculture,J. Everest Nurseries Inc.,"South Bruce Peninsula, ON N0H 2T0",8432-Nursery and greenhouse workers,6
Ontario,  Primary Agriculture,J. R. Vyn Inc.,"Ancaster, ON L9G 3K9",8432-Nursery and greenhouse workers,7
Ontario,  Primary Agriculture,JACOB ARTHUR HOLDINGS INC.,"Scotland, ON N0E 1R0",8431-General farm workers,2
Ontario,  Primary Agriculture,Jason Gunn Farms LTD.,"Port Burwell, ON N0J 1T0",8431-General farm workers,18
Ontario,  Primary Agriculture,Jc Fresh Farms Ltd.,"Kingsville, ON N9Y 2E5",8431-General farm workers,1
Ontario,  Primary Agriculture,Jc Fresh Farms Ltd.,"Kingsville, ON N9Y 2E5",8432-Nursery and greenhouse workers,34
Ontario,  Primary Agriculture,JE HIEBERT FARMS INC,"Langton, ON N0E 1G0",8431-General farm workers,3
Ontario,  Primary Agriculture,Jena Farms Inc.,"Fullarton, ON N0K 1H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,JM Sroka Inc.,"Burford, ON N0E 1A0",8611-Harvesting labourers,8
Ontario,  Primary Agriculture,JN Farming Inc.,"Vanessa, ON N0E 1V0",8431-General farm workers,10
Ontario,  Primary Agriculture,John Marques & Sons Ltd,"Bradford, ON L3Z 2B8",8431-General farm workers,4
Ontario,  Primary Agriculture,Jon-Ern Farms Limited,"Blenheim, ON N0P 1A0",8431-General farm workers,7
Ontario,  Primary Agriculture,Jordan James Farms Ltd,"Princeton, ON N0J 1V0",8431-General farm workers,8
Ontario,  Primary Agriculture,Josling Farms Inc.,"Carlisle, ON L0R 1H0",8431-General farm workers,14
Ontario,  Primary Agriculture,Justahobby Farm Inc.,"Scotland, ON N0E 1R0",8431-General farm workers,16
Ontario,  Primary Agriculture,JWM Ginseng Farms Inc.,"Windham Centre, ON N0E 2A0",8431-General farm workers,4
Ontario,  Primary Agriculture,Karat King Inc,"Newmarket, ON L3Y 4V9",8431-General farm workers,4
Ontario,  Primary Agriculture,Kawartha Meats Inc.,"Little Britain, ON K0M 2C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,KB2 Inc.,"Port Stanley, ON N5L 1J2",8431-General farm workers,1
Ontario,  Primary Agriculture,Keint-he Winery and Vineyards Ltd.,"Wellington, ON K0K 3L0",8431-General farm workers,8
Ontario,  Primary Agriculture,Kell Farms Limited,"Gilford, ON L0L 1R0",8431-General farm workers,1
Ontario,  Primary Agriculture,Kerr Farms Ltd.,"Chatham, ON N7M 0M5",8431-General farm workers,4
Ontario,  Primary Agriculture,Kichler bros inc.,"Simcoe, ON N3Y 4K1",8431-General farm workers,23
Ontario,  Primary Agriculture,Kicksee Farms Limited,"Scotland, ON N0E 1R0",8431-General farm workers,14
Ontario,  Primary Agriculture,King Valley Farms Ltd,"Newmarket, ON L3Y 4V9",8431-General farm workers,7
Ontario,  Primary Agriculture,Klassen Greenhouse Farms Inc.,"Cottam, ON N0R 1B0",8431-General farm workers,8
Ontario,  Primary Agriculture,Knapp's Nursery and Farms Ltd.,"Guelph, ON N1H 6H7",8431-General farm workers,3
Ontario,  Primary Agriculture,Kolkman Farms Ltd.,"Monkton, ON N0K 1P0",8431-General farm workers,1
Ontario,  Primary Agriculture,Komienski Limited,"Scotland, ON N0E 1R0",8431-General farm workers,89
Ontario,  Primary Agriculture,Koning Enterprises,"Chatham, ON N7L 3P5",8431-General farm workers,3
Ontario,  Primary Agriculture,Korag Farms Ltd.,"King, ON L7B 0K5",8431-General farm workers,3
Ontario,  Primary Agriculture,Krystal Apiaries ltd,"Millgrove, ON L0R 1V0",8431-General farm workers,2
Ontario,  Primary Agriculture,KUKIELKA PRODUCE INC.,"Vanessa, ON N0E 1V0",8431-General farm workers,26
